"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11600,"Cle@Tor 07:30PM ET",46.313
"SF","Kevin Durant",11500,"OKC@Phi 07:00PM ET",32.750
"SG","James Harden",11200,"Hou@Min 08:00PM ET",48.056
"C","DeMarcus Cousins",10600,"Ind@Sac 10:00PM ET",47.517
"PG","John Wall",10300,"Den@Was 07:00PM ET",42.941
"SF","Carmelo Anthony",9900,"NY@Cha 07:00PM ET",37.588
"PG","Russell Westbrook",9800,"OKC@Phi 07:00PM ET",39.875
"PG","Kyle Lowry",9600,"Cle@Tor 07:30PM ET",40.395
"SG","Kobe Bryant",9400,"LAL@Bos 07:30PM ET",42.618
"PG","Kyrie Irving",9300,"Cle@Tor 07:30PM ET",37.766
"C","Dwight Howard",9200,"Hou@Min 08:00PM ET",40.475
"PG","Ty Lawson",9200,"Den@Was 07:00PM ET",38.382
"PF","Kevin Love",9000,"Cle@Tor 07:30PM ET",36.031
"PF","Paul Millsap",8800,"Atl@Bkn 07:30PM ET",37.809
"C","Marc Gasol",8700,"SA@Mem 08:00PM ET",38.917
"C","Chris Bosh",8600,"Mia@Mil 08:30PM ET",39.944
"C","Al Jefferson",8500,"NY@Cha 07:00PM ET",34.579
"PF","Tim Duncan",8400,"SA@Mem 08:00PM ET",36.594
"PG","Michael Carter-Williams",8400,"OKC@Phi 07:00PM ET",35.023
"C","Nikola Vucevic",8300,"Orl@Uta 09:00PM ET",39.592
"SG","Monta Ellis",8200,"Pho@Dal 08:30PM ET",34.075
"PG","Deron Williams",8000,"Atl@Bkn 07:30PM ET",35.029
"PG","Jeff Teague",7900,"Atl@Bkn 07:30PM ET",34.515
"PG","Kemba Walker",7900,"NY@Cha 07:00PM ET",32.487
"SG","Eric Bledsoe",7900,"Pho@Dal 08:30PM ET",32.724
"PG","Rajon Rondo",7800,"LAL@Bos 07:30PM ET",36.717
"SF","Gordon Hayward",7800,"Orl@Uta 09:00PM ET",35.211
"SF","Rudy Gay",7700,"Ind@Sac 10:00PM ET",37.766
"PF","Zach Randolph",7600,"SA@Mem 08:00PM ET",34.653
"PF","Jared Sullinger",7600,"LAL@Bos 07:30PM ET",34.234
"SG","Dwyane Wade",7500,"Mia@Mil 08:30PM ET",36.523
"SF","Kawhi Leonard",7500,"SA@Mem 08:00PM ET",32.971
"PG","Goran Dragic",7400,"Pho@Dal 08:30PM ET",26.092
"PF","Derrick Favors",7400,"Orl@Uta 09:00PM ET",32.694
"PG","Ricky Rubio",7400,"Hou@Min 08:00PM ET",32.700
"C","Marcin Gortat",7300,"Den@Was 07:00PM ET",31.088
"PG","Mike Conley",7300,"SA@Mem 08:00PM ET",32.028
"SG","Lance Stephenson",7300,"NY@Cha 07:00PM ET",28.816
"SF","Chandler Parsons",7200,"Pho@Dal 08:30PM ET",27.825
"PF","Markieff Morris",7200,"Pho@Dal 08:30PM ET",30.855
"C","Gorgui Dieng",7200,"Hou@Min 08:00PM ET",25.206
"PG","Brandon Knight",7200,"Mia@Mil 08:30PM ET",35.475
"PG","Tony Parker",7100,"SA@Mem 08:00PM ET",27.897
"C","Roy Hibbert",7100,"Ind@Sac 10:00PM ET",31.429
"PF","Serge Ibaka",7100,"OKC@Phi 07:00PM ET",30.944
"SG","DeMar DeRozan",7100,"Cle@Tor 07:30PM ET",30.766
"PF","Thaddeus Young",7000,"Hou@Min 08:00PM ET",25.521
"PG","Reggie Jackson",7000,"OKC@Phi 07:00PM ET",38.267
"C","Tyson Chandler",6800,"Pho@Dal 08:30PM ET",32.313
"SF","Jeff Green",6800,"LAL@Bos 07:30PM ET",30.844
"SF","Tobias Harris",6800,"Orl@Uta 09:00PM ET",34.289
"C","Al Horford",6700,"Atl@Bkn 07:30PM ET",28.279
"PG","Darren Collison",6700,"Ind@Sac 10:00PM ET",33.117
"C","Brook Lopez",6700,"Atl@Bkn 07:30PM ET",28.750
"PF","David West",6600,"Ind@Sac 10:00PM ET",25.833
"SF","Trevor Ariza",6500,"Hou@Min 08:00PM ET",29.194
"C","Jordan Hill",6500,"LAL@Bos 07:30PM ET",30.829
"SG","Victor Oladipo",6300,"Orl@Uta 09:00PM ET",26.667
"PF","Terrence Jones",6300,"Hou@Min 08:00PM ET",31.250
"PF","Dirk Nowitzki",6200,"Pho@Dal 08:30PM ET",33.194
