"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SG","Rasual Butler",3000,"Atl@Was 07:00PM ET",11.906
"SG","Randy Foye",3000,"Chi@Den 09:00PM ET",14.659
"PG","Nate Robinson",3000,"Chi@Den 09:00PM ET",11.308
"PF","Reggie Evans",3000,"Sac@NO 08:00PM ET",12.056
"C","Ryan Hollins",3000,"Sac@NO 08:00PM ET",2.042
"PG","Leandro Barbosa",3000,"GS@Mia 07:30PM ET",13.042
"PF","Udonis Haslem",3000,"GS@Mia 07:30PM ET",10.750
"SF","Cartier Martin",3000,"Det@Mil 08:00PM ET",0
"SG","Shannon Brown",3000,"GS@Mia 07:30PM ET",6.650
"SF","Jared Dudley",3000,"Det@Mil 08:00PM ET",9.768
"PG","Shaun Livingston",3000,"GS@Mia 07:30PM ET",9.333
"SG","Garrett Temple",3000,"Atl@Was 07:00PM ET",17.833
"PF","Joel Anthony",3000,"Det@Mil 08:00PM ET",4.857
"PG","Ramon Sessions",3000,"Sac@NO 08:00PM ET",9.313
"PF","Josh McRoberts",3000,"GS@Mia 07:30PM ET",6.700
"SF","Alonzo Gee",3000,"Chi@Den 09:00PM ET",8.361
"SG","Brandon Rush",3000,"GS@Mia 07:30PM ET",2.286
"SF","Justin Holiday",3000,"GS@Mia 07:30PM ET",1.750
"PG","Jerryd Bayless",3000,"Det@Mil 08:00PM ET",11.536
"PF","Mike Scott",3000,"Atl@Was 07:00PM ET",12.525
"PG","Jimmer Fredette",3000,"Sac@NO 08:00PM ET",4.750
"C","DeJuan Blair",3000,"Atl@Was 07:00PM ET",2.083
"SG","Kent Bazemore",3000,"Atl@Was 07:00PM ET",5.571
"C","Festus Ezeli",3000,"GS@Mia 07:30PM ET",8.773
"C","Jeff Withey",3000,"Sac@NO 08:00PM ET",7.250
"C","Justin Hamilton",3000,"GS@Mia 07:30PM ET",10.050
"SF","Luke Babbitt",3000,"Sac@NO 08:00PM ET",6.938
"SG","Darius Miller",3000,"Sac@NO 08:00PM ET",1.938
"PG","Shelvin Mack",3000,"Atl@Was 07:00PM ET",9.150
"SG","Luigi Datome",3000,"Det@Mil 08:00PM ET",0
"SG","Glen Rice Jr.",3000,"Atl@Was 07:00PM ET",3.700
"PF","Jonas Jerebko",3000,"Det@Mil 08:00PM ET",12.023
"SG","John Jenkins",3000,"Atl@Was 07:00PM ET",15.250
"PG","Erick Green",3000,"Chi@Den 09:00PM ET",8.750
"SG","Andre Dawkins",3000,"GS@Mia 07:30PM ET",1.417
"C","Mike Muscala",3000,"Atl@Was 07:00PM ET",11.500
"PG","Nate Wolters",3000,"Det@Mil 08:00PM ET",7.600
"PF","Kevin Seraphin",3000,"Atl@Was 07:00PM ET",11.864
"PF","Cameron Bairstow",3000,"Chi@Den 09:00PM ET",0.583
"PF","Patric Young",3000,"Sac@NO 08:00PM ET",0
"PG","Kendall Marshall",3000,"Det@Mil 08:00PM ET",6.800
"PG","Russ Smith",3000,"Sac@NO 08:00PM ET",0.125
"PF","Eric Moreland",3000,"Sac@NO 08:00PM ET",0
"PF","Adreian Payne",3000,"Atl@Was 07:00PM ET",0
