"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SG","James Harden",10700,"Mem@Hou 08:00PM ET",48.559
"PG","John Wall",10200,"LAL@Was 07:00PM ET",42.719
"PG","Chris Paul",9900,"Orl@LAC 10:30PM ET",42.912
"PF","Blake Griffin",9800,"Orl@LAC 10:30PM ET",38.588
"SG","Kobe Bryant",9400,"LAL@Was 07:00PM ET",42.792
"C","Dwight Howard",9200,"Mem@Hou 08:00PM ET",40.475
"C","Marc Gasol",9100,"Mem@Hou 08:00PM ET",39.926
"PF","Paul Millsap",8900,"Atl@Mia 07:30PM ET",38.203
"PG","Kyle Lowry",8700,"Tor@Uta 09:00PM ET",39.625
"C","Al Jefferson",8600,"Chi@Cha 07:00PM ET",35.125
"PF","Tim Duncan",8500,"SA@Bkn 07:30PM ET",36.150
"C","Chris Bosh",8500,"Atl@Mia 07:30PM ET",39.574
"C","Nikola Vucevic",8300,"Orl@LAC 10:30PM ET",39.592
"PF","Pau Gasol",8200,"Chi@Cha 07:00PM ET",42.267
"PG","Deron Williams",8100,"SA@Bkn 07:30PM ET",35.078
"SF","Gordon Hayward",8000,"Tor@Uta 09:00PM ET",35.611
"PG","Michael Carter-Williams",8000,"Phi@Min 08:00PM ET",33.750
"C","Andre Drummond",8000,"Det@Bos 07:30PM ET",30.111
"PF","Zach Randolph",7900,"Mem@Hou 08:00PM ET",35.809
"SG","Monta Ellis",7800,"Dal@Mil 08:00PM ET",33.553
"PG","Mike Conley",7700,"Mem@Hou 08:00PM ET",32.118
"PG","Jeff Teague",7700,"Atl@Mia 07:30PM ET",33.625
"PG","Brandon Jennings",7700,"Det@Bos 07:30PM ET",30.517
"PG","Kemba Walker",7699,"Chi@Cha 07:00PM ET",31.972
"SF","Kawhi Leonard",7600,"SA@Bkn 07:30PM ET",32.922
"SF","Josh Smith",7500,"Det@Bos 07:30PM ET",34.667
"PG","Rajon Rondo",7500,"Det@Bos 07:30PM ET",37.786
"PG","Ricky Rubio",7400,"Phi@Min 08:00PM ET",32.700
"SG","Jimmy Butler",7300,"Chi@Cha 07:00PM ET",37.563
"PF","Derrick Favors",7300,"Tor@Uta 09:00PM ET",32.529
"PF","Jared Sullinger",7300,"Det@Bos 07:30PM ET",34.250
"PF","Dirk Nowitzki",7200,"Dal@Mil 08:00PM ET",33.194
"PG","Tony Parker",7200,"SA@Bkn 07:30PM ET",28.500
"C","DeAndre Jordan",7200,"Orl@LAC 10:30PM ET",30.471
"PF","Thaddeus Young",7100,"Phi@Min 08:00PM ET",25.386
"SG","DeMar DeRozan",7100,"Tor@Uta 09:00PM ET",30.766
"SG","Lance Stephenson",7100,"Chi@Cha 07:00PM ET",28.417
"SG","Dwyane Wade",7000,"Atl@Mia 07:30PM ET",35.550
"C","Marcin Gortat",7000,"LAL@Was 07:00PM ET",30.453
"PF","Greg Monroe",7000,"Det@Bos 07:30PM ET",29.563
"PG","Brandon Knight",7000,"Dal@Mil 08:00PM ET",34.842
"C","Gorgui Dieng",6900,"Phi@Min 08:00PM ET",24.188
"C","Al Horford",6800,"Atl@Mia 07:30PM ET",29.172
"SF","Tobias Harris",6800,"Orl@LAC 10:30PM ET",34.500
"C","Joakim Noah",6700,"Chi@Cha 07:00PM ET",31.200
"C","Brook Lopez",6700,"SA@Bkn 07:30PM ET",27.607
"C","Tyson Chandler",6500,"Dal@Mil 08:00PM ET",31.566
"C","Jordan Hill",6500,"LAL@Was 07:00PM ET",31.681
"SG","Victor Oladipo",6400,"Orl@LAC 10:30PM ET",27.432
"SF","Jeff Green",6300,"Det@Bos 07:30PM ET",30.083
"PF","Terrence Jones",6300,"Mem@Hou 08:00PM ET",31.250
"SG","Joe Johnson",6200,"SA@Bkn 07:30PM ET",30.453
"SG","Alec Burks",6200,"Tor@Uta 09:00PM ET",24.736
"PG","Mario Chalmers",6100,"Atl@Mia 07:30PM ET",26.235
"SF","Chandler Parsons",6100,"Dal@Mil 08:00PM ET",27.579
"PF","Carlos Boozer",6000,"LAL@Was 07:00PM ET",24.544
"SF","Trevor Ariza",6000,"Mem@Hou 08:00PM ET",28.926
"SF","Corey Brewer",6000,"Phi@Min 08:00PM ET",21.875
"PG","Derrick Rose",6000,"Chi@Cha 07:00PM ET",28.700
"C","Jonas Valanciunas",5900,"Tor@Uta 09:00PM ET",26.088
"C","Enes Kanter",5800,"Tor@Uta 09:00PM ET",23.444
"PG","Tony Wroten",5800,"Phi@Min 08:00PM ET",34.600
"PG","Mo Williams",5700,"Phi@Min 08:00PM ET",24.517
"SG","Bradley Beal",5700,"LAL@Was 07:00PM ET",23.464
"SG","Jamal Crawford",5600,"Orl@LAC 10:30PM ET",27.156
"PF","Nikola Mirotic",5600,"Chi@Cha 07:00PM ET",17.389
"SF","K.J. McDaniels",5600,"Phi@Min 08:00PM ET",20.324
"PG","Marcus Smart",5600,"Det@Bos 07:30PM ET",15.050
"PF","Nerlens Noel",5600,"Phi@Min 08:00PM ET",23.446
"SG","Giannis Antetokounmpo",5600,"Dal@Mil 08:00PM ET",24.184
"SF","Luol Deng",5500,"Atl@Mia 07:30PM ET",25.453
"PF","Brandon Bass",5500,"Det@Bos 07:30PM ET",16.067
"PF","Taj Gibson",5500,"Chi@Cha 07:00PM ET",25.458
"PG","Trey Burke",5500,"Tor@Uta 09:00PM ET",24.847
"SF","Paul Pierce",5400,"LAL@Was 07:00PM ET",24.203
"PG","Raymond Felton",5400,"Dal@Mil 08:00PM ET",0
"SG","Lou Williams",5400,"Tor@Uta 09:00PM ET",20.208
"SF","Andrew Wiggins",5400,"Phi@Min 08:00PM ET",20.141
"SG","Danny Green",5300,"SA@Bkn 07:30PM ET",23.662
"PG","Jeremy Lin",5300,"LAL@Was 07:00PM ET",25.986
"SF","Jabari Parker",5300,"Dal@Mil 08:00PM ET",25.408
"SG","Jason Terry",5200,"Mem@Hou 08:00PM ET",14.765
"PF","Channing Frye",5200,"Orl@LAC 10:30PM ET",20.408
"PG","Jarrett Jack",5200,"SA@Bkn 07:30PM ET",19.969
"C","Henry Sims",5200,"Phi@Min 08:00PM ET",20.765
"SG","Kyle Korver",5100,"Atl@Mia 07:30PM ET",26.563
"SF","DeMarre Carroll",5100,"Atl@Mia 07:30PM ET",23.417
"SG","Evan Fournier",5100,"Orl@LAC 10:30PM ET",23.276
"SG","Manu Ginobili",5000,"SA@Bkn 07:30PM ET",21.734
"PG","Jameer Nelson",5000,"Dal@Mil 08:00PM ET",19.031
"PF","Nene Hilario",5000,"LAL@Was 07:00PM ET",22.545
"PF","Boris Diaw",5000,"SA@Bkn 07:30PM ET",22.147
"PG","Patrick Beverley",5000,"Mem@Hou 08:00PM ET",24.643
"PF","Mirza Teletovic",5000,"SA@Bkn 07:30PM ET",20.609
"PG","Devin Harris",4900,"Dal@Mil 08:00PM ET",21.647
"C","Larry Sanders",4900,"Dal@Mil 08:00PM ET",21.486
"C","Nikola Pekovic",4900,"Phi@Min 08:00PM ET",24.806
"SF","Donatas Motiejunas",4900,"Mem@Hou 08:00PM ET",19.412
"C","Rudy Gobert",4900,"Tor@Uta 09:00PM ET",15.292
"PF","Amir Johnson",4800,"Tor@Uta 09:00PM ET",21.383
"PF","Brandan Wright",4800,"Dal@Mil 08:00PM ET",19.684
"C","Kelly Olynyk",4800,"Det@Bos 07:30PM ET",23.050
"PF","Julius Randle",4800,"LAL@Was 07:00PM ET",1.500
"PF","Kris Humphries",4700,"LAL@Was 07:00PM ET",15.750
"PF","Patrick Patterson",4700,"Tor@Uta 09:00PM ET",19.722
"PG","Brian Roberts",4600,"Chi@Cha 07:00PM ET",13.222
"PF","Ersan Ilyasova",4600,"Dal@Mil 08:00PM ET",17.947
"SG","O.J. Mayo",4600,"Dal@Mil 08:00PM ET",20.974
"SF","Bojan Bogdanovic",4600,"SA@Bkn 07:30PM ET",16.172
"SF","Wesley Johnson",4500,"LAL@Was 07:00PM ET",18.708
"C","Tiago Splitter",4500,"SA@Bkn 07:30PM ET",14.500
"PG","Isaiah Canaan",4500,"Mem@Hou 08:00PM ET",16.750
"SF","Terrence Ross",4500,"Tor@Uta 09:00PM ET",19.306
