"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PF","Anthony Davis",11700,"NO@Dal 08:00PM ET",51.368
"SG","James Harden",11400,"Hou@GS 10:30PM ET",48.200
"PG","Stephen Curry",10700,"Hou@GS 10:30PM ET",45.688
"PF","Blake Griffin",10400,"LAC@Ind 07:00PM ET",40.363
"PG","John Wall",10400,"Was@Orl 07:00PM ET",44.688
"PG","Chris Paul",10300,"LAC@Ind 07:00PM ET",43.625
"PF","LaMarcus Aldridge",10200,"Por@Min 08:00PM ET",41.868
"SF","Carmelo Anthony",10000,"NY@SA 08:30PM ET",37.863
"PG","Ty Lawson",9500,"Mia@Den 10:30PM ET",38.750
"C","Dwight Howard",9200,"Hou@GS 10:30PM ET",40.475
"PF","Pau Gasol",9000,"Bkn@Chi 08:00PM ET",43.074
"PG","Michael Carter-Williams",8900,"Phi@Atl 07:30PM ET",38.423
"PG","Damian Lillard",8800,"Por@Min 08:00PM ET",38.963
"PF","Paul Millsap",8700,"Phi@Atl 07:30PM ET",37.150
"PF","Tim Duncan",8600,"NY@SA 08:30PM ET",37.306
"C","Chris Bosh",8500,"Mia@Den 10:30PM ET",38.800
"C","Al Jefferson",8400,"Bos@Cha 07:00PM ET",34.888
"C","Nikola Vucevic",8300,"Was@Orl 07:00PM ET",39.592
"PG","Deron Williams",8200,"Bkn@Chi 08:00PM ET",33.829
"PG","Jeff Teague",8200,"Phi@Atl 07:30PM ET",34.200
"PG","Rajon Rondo",8100,"Bos@Cha 07:00PM ET",36.861
"SG","Monta Ellis",8000,"NO@Dal 08:00PM ET",34.432
"PG","Kemba Walker",8000,"Bos@Cha 07:00PM ET",32.138
"SG","Dwyane Wade",7900,"Mia@Den 10:30PM ET",36.885
"PG","Jrue Holiday",7800,"NO@Dal 08:00PM ET",32.474
"PF","Thaddeus Young",7700,"Por@Min 08:00PM ET",26.133
"SF","Kawhi Leonard",7700,"NY@SA 08:30PM ET",32.303
"C","DeAndre Jordan",7600,"LAC@Ind 07:00PM ET",31.850
"SG","Lance Stephenson",7500,"Bos@Cha 07:00PM ET",28.950
"SG","Tyreke Evans",7400,"NO@Dal 08:00PM ET",33.342
"PG","Ricky Rubio",7400,"Por@Min 08:00PM ET",32.700
"C","Marcin Gortat",7300,"Was@Orl 07:00PM ET",31.063
"SF","Chandler Parsons",7300,"NO@Dal 08:00PM ET",28.068
"SG","Jimmy Butler",7300,"Bkn@Chi 08:00PM ET",37.083
"PF","Jared Sullinger",7300,"Bos@Cha 07:00PM ET",33.250
"C","Al Horford",7200,"Phi@Atl 07:30PM ET",29.050
"SG","Klay Thompson",7200,"Hou@GS 10:30PM ET",35.500
"C","Tyson Chandler",7100,"NO@Dal 08:00PM ET",32.420
"C","Joakim Noah",7100,"Bkn@Chi 08:00PM ET",31.485
"C","Gorgui Dieng",7100,"Por@Min 08:00PM ET",25.500
"PF","David Lee",7000,"Hou@GS 10:30PM ET",5.500
"C","Roy Hibbert",7000,"LAC@Ind 07:00PM ET",29.456
"PG","Tony Parker",6900,"NY@SA 08:30PM ET",27.417
"SF","Nicolas Batum",6900,"Por@Min 08:00PM ET",28.625
"SF","Tobias Harris",6800,"Was@Orl 07:00PM ET",34.440
"SF","Trevor Ariza",6500,"Hou@GS 10:30PM ET",29.275
"SF","Jeff Green",6500,"Bos@Cha 07:00PM ET",31.039
"C","Brook Lopez",6500,"Bkn@Chi 08:00PM ET",28.766
"PF","Dirk Nowitzki",6400,"NO@Dal 08:00PM ET",32.000
"PF","David West",6400,"LAC@Ind 07:00PM ET",25.667
"PG","Derrick Rose",6400,"Bkn@Chi 08:00PM ET",27.875
"SG","Victor Oladipo",6400,"Was@Orl 07:00PM ET",27.393
"SF","Wilson Chandler",6300,"Mia@Den 10:30PM ET",27.500
"SF","Draymond Green",6300,"Hou@GS 10:30PM ET",32.025
"PF","Terrence Jones",6300,"Hou@GS 10:30PM ET",31.250
"SG","Wesley Matthews",6200,"Por@Min 08:00PM ET",27.925
"SG","Joe Johnson",6100,"Bkn@Chi 08:00PM ET",29.556
"SG","Danny Green",6000,"NY@SA 08:30PM ET",25.275
"PG","Mario Chalmers",6000,"Mia@Den 10:30PM ET",27.538
"SG","Kyle Korver",5900,"Phi@Atl 07:30PM ET",26.475
"PF","Amar'e Stoudemire",5900,"NY@SA 08:30PM ET",26.262
"C","Andrew Bogut",5900,"Hou@GS 10:30PM ET",28.313
"PG","George Hill",5900,"LAC@Ind 07:00PM ET",0
"PF","Ryan Anderson",5900,"NO@Dal 08:00PM ET",25.724
"SF","K.J. McDaniels",5800,"Phi@Atl 07:30PM ET",21.600
"PG","Tony Wroten",5800,"Phi@Atl 07:30PM ET",34.600
"C","Timofey Mozgov",5700,"Mia@Den 10:30PM ET",24.143
"SG","Bradley Beal",5700,"Was@Orl 07:00PM ET",24.727
"PG","Mo Williams",5600,"Por@Min 08:00PM ET",24.938
"SF","DeMarre Carroll",5600,"Phi@Atl 07:30PM ET",23.891
"PF","Nerlens Noel",5600,"Phi@Atl 07:30PM ET",23.647
"SG","Jason Terry",5500,"Hou@GS 10:30PM ET",17.313
"SG","Kevin Martin",5500,"Por@Min 08:00PM ET",29.694
"SG","J.R. Smith",5500,"NY@SA 08:30PM ET",19.013
"SF","Corey Brewer",5500,"Por@Min 08:00PM ET",22.888
"SG","Arron Afflalo",5500,"Mia@Den 10:30PM ET",21.798
"PF","Taj Gibson",5500,"Bkn@Chi 08:00PM ET",25.058
"C","Omer Asik",5500,"NO@Dal 08:00PM ET",25.083
"PG","Raymond Felton",5400,"NO@Dal 08:00PM ET",0
"PG","Jose Calderon",5400,"NY@SA 08:30PM ET",20.194
"C","Robin Lopez",5400,"Por@Min 08:00PM ET",24.525
"SF","Paul Pierce",5300,"Was@Orl 07:00PM ET",25.250
"PF","Kenneth Faried",5300,"Mia@Den 10:30PM ET",22.855
"C","Henry Sims",5300,"Phi@Atl 07:30PM ET",20.250
"PF","Mirza Teletovic",5300,"Bkn@Chi 08:00PM ET",21.697
"PF","Channing Frye",5200,"Was@Orl 07:00PM ET",20.159
"SF","Luol Deng",5200,"Mia@Den 10:30PM ET",24.458
"SG","Eric Gordon",5200,"NO@Dal 08:00PM ET",18.125
"SF","Donatas Motiejunas",5200,"Hou@GS 10:30PM ET",20.750
"SG","Jamal Crawford",5100,"LAC@Ind 07:00PM ET",26.132
"PF","Kris Humphries",5100,"Was@Orl 07:00PM ET",19.237
"PG","Patrick Beverley",5100,"Hou@GS 10:30PM ET",26.125
"C","Tiago Splitter",5100,"NY@SA 08:30PM ET",14.500
"SG","Evan Fournier",5100,"Was@Orl 07:00PM ET",22.693
"SG","Manu Ginobili",5000,"NY@SA 08:30PM ET",23.486
"C","Tyler Zeller",5000,"Bos@Cha 07:00PM ET",16.868
"SF","Harrison Barnes",5000,"Hou@GS 10:30PM ET",22.913
"PG","Cory Joseph",5000,"NY@SA 08:30PM ET",16.889
"PF","Nikola Mirotic",5000,"Bkn@Chi 08:00PM ET",17.513
"PG","Zach LaVine",5000,"Por@Min 08:00PM ET",17.588
"SF","Andrew Wiggins",5000,"Por@Min 08:00PM ET",20.350
"C","Nikola Pekovic",4900,"Por@Min 08:00PM ET",24.806
"PF","Nene Hilario",4800,"Was@Orl 07:00PM ET",22.038
"PF","Cody Zeller",4800,"Bos@Cha 07:00PM ET",18.563
"PF","Luis Scola",4700,"LAC@Ind 07:00PM ET",22.000
"PF","Boris Diaw",4700,"NY@SA 08:30PM ET",21.213
"PF","Josh McRoberts",4700,"Mia@Den 10:30PM ET",10.672
"SG","Rodney Stuckey",4600,"LAC@Ind 07:00PM ET",21.482
"PG","Elfrid Payton",4600,"Was@Orl 07:00PM ET",20.359
"PG","Jameer Nelson",4500,"NO@Dal 08:00PM ET",18.658
"C","Chris Kaman",4500,"Por@Min 08:00PM ET",21.600
"PG","Devin Harris",4500,"NO@Dal 08:00PM ET",20.075
"SF","Andre Iguodala",4500,"Hou@GS 10:30PM ET",16.875
"SF","Evan Turner",4500,"Bos@Cha 07:00PM ET",20.697
"C","J.J. Hickson",4500,"Mia@Den 10:30PM ET",20.173
"C","Kyle O'Quinn",4500,"Was@Orl 07:00PM ET",21.406
"PG","Isaiah Canaan",4500,"Hou@GS 10:30PM ET",16.750
"PF","Kevin Garnett",4400,"Bkn@Chi 08:00PM ET",22.132
"SF","Solomon Hill",4400,"LAC@Ind 07:00PM ET",23.155
"SG","Avery Bradley",4400,"Bos@Cha 07:00PM ET",19.934
"SF","Bojan Bogdanovic",4400,"Bkn@Chi 08:00PM ET",15.908
"SF","Mike Dunleavy",4300,"Bkn@Chi 08:00PM ET",20.138
"SG","J.J. Redick",4300,"LAC@Ind 07:00PM ET",20.038
"SG","Randy Foye",4300,"Mia@Den 10:30PM ET",14.659
"C","Spencer Hawes",4300,"LAC@Ind 07:00PM ET",16.375
"C","Mason Plumlee",4300,"Bkn@Chi 08:00PM ET",13.684
"PF","Robert Covington",4300,"Phi@Atl 07:30PM ET",15.568
"SF","Kostas Papanikolaou",4300,"Hou@GS 10:30PM ET",18.908
"SF","Matt Barnes",4200,"LAC@Ind 07:00PM ET",15.944
"PG","Jarrett Jack",4200,"Bkn@Chi 08:00PM ET",19.013
"SF","Luc Richard Mbah a Moute",4200,"Phi@Atl 07:30PM ET",20.118
"PF","Brandan Wright",4200,"NO@Dal 08:00PM ET",19.659
"SF","Shabazz Muhammad",4200,"Por@Min 08:00PM ET",16.500
"PF","Aaron Gordon",4200,"Was@Orl 07:00PM ET",11.841
"SG","Gerald Henderson",4100,"Bos@Cha 07:00PM ET",14.000
"PF","Marreese Speights",4100,"Hou@GS 10:30PM ET",21.224
"PF","Tarik Black",4100,"Hou@GS 10:30PM ET",12.792
"C","Samuel Dalembert",4000,"NY@SA 08:30PM ET",15.841
"PG","C.J. Watson",4000,"LAC@Ind 07:00PM ET",20.208
"PG","Brian Roberts",4000,"Bos@Cha 07:00PM ET",12.425
"PF","Andrea Bargnani",4000,"NY@SA 08:30PM ET",0
"SF","Michael Kidd-Gilchrist",4000,"Bos@Cha 07:00PM ET",20.458
"PG","Marcus Smart",4000,"Bos@Cha 07:00PM ET",15.469
"SG","Gary Neal",3900,"Bos@Cha 07:00PM ET",19.071
"SF","Chris Copeland",3900,"LAC@Ind 07:00PM ET",19.000
"PF","Brandon Bass",3900,"Bos@Cha 07:00PM ET",16.553
"SG","Marco Belinelli",3900,"NY@SA 08:30PM ET",13.292
"PG","Shabazz Napier",3900,"Mia@Den 10:30PM ET",14.338
"PG","Alexey Shved",3900,"Phi@Atl 07:30PM ET",18.481
"PG","Shaun Livingston",3800,"Hou@GS 10:30PM ET",12.213
"SF","C.J. Miles",3800,"LAC@Ind 07:00PM ET",14.036
"C","Aron Baynes",3800,"NY@SA 08:30PM ET",15.088
"PF","Anthony Bennett",3800,"Por@Min 08:00PM ET",15.526
"SF","Andrei Kirilenko",3700,"Bkn@Chi 08:00PM ET",2.286
"SG","Iman Shumpert",3700,"NY@SA 08:30PM ET",21.429
"PG","Kirk Hinrich",3600,"Bkn@Chi 08:00PM ET",18.708
"SG","Rasual Butler",3600,"Was@Orl 07:00PM ET",17.734
"PG","J.J. Barea",3600,"NO@Dal 08:00PM ET",17.845
"C","Kelly Olynyk",3600,"Bos@Cha 07:00PM ET",24.026
"PG","Aaron Brooks",3500,"Bkn@Chi 08:00PM ET",17.900
"SF","Marvin Williams",3500,"Bos@Cha 07:00PM ET",13.375
"PF","Joey Dorsey",3500,"Hou@GS 10:30PM ET",8.117
"C","Jerome Jordan",3500,"Bkn@Chi 08:00PM ET",7.359
"PF","Darrell Arthur",3500,"Mia@Den 10:30PM ET",16.488
"SF","Hollis Thompson",3500,"Phi@Atl 07:30PM ET",16.500
"SG","Tim Hardaway Jr.",3500,"NY@SA 08:30PM ET",12.898
"C","Dewayne Dedmon",3500,"Was@Orl 07:00PM ET",10.683
"SG","P.J. Hairston",3500,"Bos@Cha 07:00PM ET",11.269
"PG","Dennis Schroder",3500,"Phi@Atl 07:30PM ET",17.079
"PF","Dante Cunningham",3400,"NO@Dal 08:00PM ET",9.750
"PG","Norris Cole",3400,"Mia@Den 10:30PM ET",16.281
"PF","Quincy Acy",3400,"NY@SA 08:30PM ET",14.303
"PG","Austin Rivers",3400,"NO@Dal 08:00PM ET",13.539
"SF","Francisco Garcia",3300,"Hou@GS 10:30PM ET",8.339
"PF","Thomas Robinson",3300,"Por@Min 08:00PM ET",6.594
"SF","Martell Webster",3200,"Was@Orl 07:00PM ET",0
"SF","Danilo Gallinari",3200,"Mia@Den 10:30PM ET",13.690
"PG","Andre Miller",3100,"Was@Orl 07:00PM ET",10.813
"C","Nazr Mohammed",3000,"Bkn@Chi 08:00PM ET",5.700
"C","Elton Brand",3000,"Phi@Atl 07:30PM ET",11.063
"SF","Hedo Turkoglu",3000,"LAC@Ind 07:00PM ET",5.859
"SG","Jason Richardson",3000,"Phi@Atl 07:30PM ET",0
"SF","Richard Jefferson",3000,"NO@Dal 08:00PM ET",8.694
"SF","Gerald Wallace",3000,"Bos@Cha 07:00PM ET",1.750
