"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",10500,"Cle@Chi 08:00PM ET",25.750
"PF","Blake Griffin",10000,"LAC@LAL 10:30PM ET",36.750
"C","DeMarcus Cousins",9900,"Por@Sac 10:00PM ET",35.750
"PG","Chris Paul",9500,"LAC@LAL 10:30PM ET",46.000
"PF","LaMarcus Aldridge",9200,"Por@Sac 10:00PM ET",39.250
"PF","Kevin Love",9100,"Cle@Chi 08:00PM ET",44.500
"PG","Michael Carter-Williams",8500,"Phi@Mil 08:30PM ET",0
"C","Marc Gasol",8300,"Mem@Ind 07:00PM ET",54.250
"PG","Damian Lillard",8100,"Por@Sac 10:00PM ET",22.500
"SG","Kobe Bryant",8000,"LAC@LAL 10:30PM ET",35.875
"PF","Tim Duncan",7800,"SA@Pho 10:00PM ET",38.250
"PF","Zach Randolph",7600,"Mem@Ind 07:00PM ET",45.750
"PG","Kyrie Irving",7600,"Cle@Chi 08:00PM ET",43.250
"C","DeAndre Jordan",7500,"LAC@LAL 10:30PM ET",23.000
"PG","Brandon Knight",7400,"Phi@Mil 08:30PM ET",54.000
"SF","Nicolas Batum",7300,"Por@Sac 10:00PM ET",35.250
"SG","Eric Bledsoe",7300,"SA@Pho 10:00PM ET",38.000
"PF","Pau Gasol",7100,"Cle@Chi 08:00PM ET",35.750
"SF","Rudy Gay",7100,"Por@Sac 10:00PM ET",27.750
"C","Roy Hibbert",7100,"Mem@Ind 07:00PM ET",44.500
"PG","Derrick Rose",7100,"Cle@Chi 08:00PM ET",26.750
"PG","Goran Dragic",7100,"SA@Pho 10:00PM ET",28.750
"PG","Tony Parker",7000,"SA@Pho 10:00PM ET",32.750
"C","Joakim Noah",7000,"Cle@Chi 08:00PM ET",18.500
"PG","Mike Conley",7000,"Mem@Ind 07:00PM ET",28.250
"PF","David West",6800,"Mem@Ind 07:00PM ET",0
"PG","Darren Collison",6500,"Por@Sac 10:00PM ET",42.000
"PF","Nerlens Noel",6500,"Phi@Mil 08:30PM ET",23.500
"PF","Carlos Boozer",6400,"LAC@LAL 10:30PM ET",19.625
"SG","Wesley Matthews",6400,"Por@Sac 10:00PM ET",34.500
"PG","Tony Wroten",6400,"Phi@Mil 08:30PM ET",48.500
"C","Robin Lopez",6300,"Por@Sac 10:00PM ET",31.000
"PF","Markieff Morris",6200,"SA@Pho 10:00PM ET",21.250
"PG","George Hill",6100,"Mem@Ind 07:00PM ET",0
"SF","Kawhi Leonard",6100,"SA@Pho 10:00PM ET",0
"PF","Taj Gibson",5800,"Cle@Chi 08:00PM ET",37.500
"PG","Donald Sloan",5800,"Mem@Ind 07:00PM ET",39.500
"PG","Isaiah Thomas",5800,"SA@Pho 10:00PM ET",30.250
"C","Larry Sanders",5700,"Phi@Mil 08:30PM ET",23.750
"SG","Manu Ginobili",5600,"SA@Pho 10:00PM ET",35.000
"SG","Rodney Stuckey",5500,"Mem@Ind 07:00PM ET",29.750
"PF","Jordan Hill",5500,"LAC@LAL 10:30PM ET",22.375
"SG","Jamal Crawford",5400,"LAC@LAL 10:30PM ET",27.000
"PF","Tristan Thompson",5400,"Cle@Chi 08:00PM ET",8.500
"SG","Giannis Antetokounmpo",5400,"Phi@Mil 08:30PM ET",20.250
"SF","Jabari Parker",5400,"Phi@Mil 08:30PM ET",16.500
"C","Miles Plumlee",5100,"SA@Pho 10:00PM ET",21.500
"C","Henry Sims",5100,"Phi@Mil 08:30PM ET",14.500
"C","Spencer Hawes",5000,"LAC@LAL 10:30PM ET",12.000
"C","Tiago Splitter",5000,"SA@Pho 10:00PM ET",0
"SG","Jimmy Butler",5000,"Cle@Chi 08:00PM ET",0
"SG","Dion Waiters",4900,"Cle@Chi 08:00PM ET",15.750
"SF","Matt Barnes",4800,"LAC@LAL 10:30PM ET",18.750
"PF","Luis Scola",4800,"Mem@Ind 07:00PM ET",22.500
