"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11700,"Cle@Bkn 07:30PM ET",47.167
"C","DeMarcus Cousins",10600,"Uta@Sac 10:00PM ET",47.517
"PG","Stephen Curry",10500,"GS@Min 08:00PM ET",45.803
"PG","John Wall",10300,"Bos@Was 07:00PM ET",42.861
"PG","Chris Paul",10200,"Pho@LAC 10:30PM ET",43.487
"PG","Kyle Lowry",10100,"Den@Tor 07:30PM ET",40.450
"PF","Blake Griffin",10000,"Pho@LAC 10:30PM ET",39.355
"PG","Ty Lawson",9500,"Den@Tor 07:30PM ET",38.528
"PG","Kyrie Irving",9100,"Cle@Bkn 07:30PM ET",38.167
"PF","Kevin Love",9000,"Cle@Bkn 07:30PM ET",35.528
"PF","Paul Millsap",8800,"Atl@Ind 07:00PM ET",37.694
"PG","Rajon Rondo",8600,"Bos@Was 07:00PM ET",37.484
"SG","Eric Bledsoe",8400,"Pho@LAC 10:30PM ET",33.476
"PG","Deron Williams",8200,"Cle@Bkn 07:30PM ET",33.903
"PG","Goran Dragic",8100,"Pho@LAC 10:30PM ET",27.607
"PG","Jeff Teague",8000,"Atl@Ind 07:00PM ET",34.431
"SF","Gordon Hayward",7900,"Uta@Sac 10:00PM ET",34.700
"PF","Thaddeus Young",7800,"GS@Min 08:00PM ET",26.232
"SF","Rudy Gay",7700,"Uta@Sac 10:00PM ET",37.847
"C","DeAndre Jordan",7700,"Pho@LAC 10:30PM ET",31.395
"PF","Jared Sullinger",7700,"Bos@Was 07:00PM ET",34.706
"PF","Derrick Favors",7600,"Uta@Sac 10:00PM ET",33.592
"PG","Ricky Rubio",7400,"GS@Min 08:00PM ET",32.700
"C","Marcin Gortat",7300,"Bos@Was 07:00PM ET",30.764
"SG","DeMar DeRozan",7100,"Den@Tor 07:30PM ET",30.766
"SG","Klay Thompson",7100,"GS@Min 08:00PM ET",35.931
"C","Gorgui Dieng",7100,"GS@Min 08:00PM ET",25.303
