"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11700,"Tor@Cle 07:00PM ET",47.167
"PF","Anthony Davis",11600,"NY@NO 08:00PM ET",51.368
"SF","Kevin Durant",10600,"Mil@OKC 08:00PM ET",32.250
"C","DeMarcus Cousins",10500,"Sac@LAL 10:30PM ET",47.517
"PG","Russell Westbrook",10400,"Mil@OKC 08:00PM ET",41.833
"PG","Kyle Lowry",10200,"Tor@Cle 07:00PM ET",40.450
"SF","Carmelo Anthony",10000,"NY@NO 08:00PM ET",37.863
"PF","LaMarcus Aldridge",9900,"Por@Det 07:30PM ET",41.868
"SG","Kobe Bryant",9500,"Sac@LAL 10:30PM ET",41.107
"PG","Kyrie Irving",9300,"Tor@Cle 07:00PM ET",38.167
"PF","Kevin Love",9000,"Tor@Cle 07:00PM ET",35.528
"PG","Damian Lillard",8800,"Por@Det 07:30PM ET",38.963
"C","Marc Gasol",8600,"Dal@Mem 08:00PM ET",38.825
"PF","Tim Duncan",8500,"SA@Uta 09:00PM ET",37.306
"C","Chris Bosh",8300,"Mia@Pho 09:00PM ET",38.800
"SG","Eric Bledsoe",8200,"Mia@Pho 09:00PM ET",33.476
"C","Andre Drummond",8100,"Por@Det 07:30PM ET",31.488
"PG","Jrue Holiday",8000,"NY@NO 08:00PM ET",32.474
"SF","Josh Smith",7900,"Por@Det 07:30PM ET",34.714
"SF","Rudy Gay",7900,"Sac@LAL 10:30PM ET",37.847
"SG","Monta Ellis",7900,"Dal@Mem 08:00PM ET",34.432
"PG","Goran Dragic",7900,"Mia@Pho 09:00PM ET",27.607
"SG","Dwyane Wade",7800,"Mia@Pho 09:00PM ET",36.885
"SF","Kawhi Leonard",7700,"SA@Uta 09:00PM ET",32.303
"SF","Gordon Hayward",7600,"SA@Uta 09:00PM ET",34.700
"PF","Derrick Favors",7500,"SA@Uta 09:00PM ET",33.592
"PG","Mike Conley",7400,"Dal@Mem 08:00PM ET",32.013
"SG","Tyreke Evans",7300,"NY@NO 08:00PM ET",33.342
"PF","Zach Randolph",7200,"Dal@Mem 08:00PM ET",33.688
"SF","Chandler Parsons",7200,"Dal@Mem 08:00PM ET",28.068
"PF","Serge Ibaka",7100,"Mil@OKC 08:00PM ET",31.338
"SG","DeMar DeRozan",7100,"Tor@Cle 07:00PM ET",30.766
"PG","Tony Parker",7000,"SA@Uta 09:00PM ET",27.417
"PG","Brandon Jennings",7000,"Por@Det 07:30PM ET",29.236
"C","Tyson Chandler",6900,"Dal@Mem 08:00PM ET",32.420
"PG","Darren Collison",6900,"Sac@LAL 10:30PM ET",33.618
"PF","Greg Monroe",6800,"Por@Det 07:30PM ET",29.789
"PG","Brandon Knight",6800,"Mil@OKC 08:00PM ET",34.580
"PF","Markieff Morris",6700,"Mia@Pho 09:00PM ET",30.738
"SF","Nicolas Batum",6600,"Por@Det 07:30PM ET",28.625
"PF","Dirk Nowitzki",6400,"Dal@Mem 08:00PM ET",32.000
"C","Jordan Hill",6400,"Sac@LAL 10:30PM ET",29.857
"PG","Reggie Jackson",6400,"Mil@OKC 08:00PM ET",35.897
"PF","Amar'e Stoudemire",6100,"NY@NO 08:00PM ET",26.262
"SG","Wesley Matthews",6000,"Por@Det 07:30PM ET",27.925
"PG","Mario Chalmers",6000,"Mia@Pho 09:00PM ET",27.538
"C","Enes Kanter",6000,"SA@Uta 09:00PM ET",23.925
"SG","Alec Burks",5900,"SA@Uta 09:00PM ET",24.736
"PF","Carlos Boozer",5800,"Sac@LAL 10:30PM ET",23.525
"PG","Isaiah Thomas",5800,"Mia@Pho 09:00PM ET",26.167
"PF","Ryan Anderson",5600,"NY@NO 08:00PM ET",25.724
"C","Jonas Valanciunas",5600,"Tor@Cle 07:00PM ET",25.105
"C","Omer Asik",5500,"NY@NO 08:00PM ET",25.083
"PF","John Henson",5500,"Mil@OKC 08:00PM ET",10.607
"SG","Danny Green",5400,"SA@Uta 09:00PM ET",25.275
"C","Robin Lopez",5400,"Por@Det 07:30PM ET",24.525
"SG","Giannis Antetokounmpo",5400,"Mil@OKC 08:00PM ET",24.068
"SF","Luol Deng",5300,"Mia@Pho 09:00PM ET",24.458
"SG","J.R. Smith",5300,"NY@NO 08:00PM ET",19.013
"PG","Jose Calderon",5300,"NY@NO 08:00PM ET",20.194
"PG","Jeremy Lin",5300,"Sac@LAL 10:30PM ET",24.167
"SG","Ben McLemore",5300,"Sac@LAL 10:30PM ET",18.650
"PG","Trey Burke",5300,"SA@Uta 09:00PM ET",25.788
"C","Anderson Varejao",5200,"Tor@Cle 07:00PM ET",23.412
"PF","Amir Johnson",5200,"Tor@Cle 07:00PM ET",22.838
"SG","Eric Gordon",5200,"NY@NO 08:00PM ET",18.125
"C","Tiago Splitter",5100,"SA@Uta 09:00PM ET",14.500
"SG","Manu Ginobili",5000,"SA@Uta 09:00PM ET",23.486
"SG","Nick Young",5000,"Sac@LAL 10:30PM ET",21.273
"SG","Lou Williams",5000,"Tor@Cle 07:00PM ET",20.213
"PG","Greivis Vasquez",5000,"Tor@Cle 07:00PM ET",18.863
"PF","Tristan Thompson",5000,"Tor@Cle 07:00PM ET",20.417
"SF","Jabari Parker",5000,"Mil@OKC 08:00PM ET",24.875
"PG","D.J. Augustin",4900,"Por@Det 07:30PM ET",17.012
"PF","Boris Diaw",4800,"SA@Uta 09:00PM ET",21.213
"C","Larry Sanders",4800,"Mil@OKC 08:00PM ET",20.940
"SG","Kentavious Caldwell-Pope",4800,"Por@Det 07:30PM ET",21.012
"PF","Julius Randle",4800,"Sac@LAL 10:30PM ET",1.500
"SG","Gerald Green",4700,"Mia@Pho 09:00PM ET",22.119
"PF","Patrick Patterson",4700,"Tor@Cle 07:00PM ET",19.538
"PG","Cory Joseph",4700,"SA@Uta 09:00PM ET",16.889
"PG","Jameer Nelson",4600,"Dal@Mem 08:00PM ET",18.658
"SF","Terrence Ross",4600,"Tor@Cle 07:00PM ET",19.175
"C","Chris Kaman",4500,"Por@Det 07:30PM ET",21.600
"PG","Devin Harris",4500,"Dal@Mem 08:00PM ET",20.075
"SF","P.J. Tucker",4500,"Mia@Pho 09:00PM ET",20.368
"PF","Josh McRoberts",4500,"Mia@Pho 09:00PM ET",10.672
"SF","Tony Allen",4400,"Dal@Mem 08:00PM ET",20.028
"PF","Ersan Ilyasova",4400,"Mil@OKC 08:00PM ET",17.947
"SF","Khris Middleton",4400,"Mil@OKC 08:00PM ET",18.382
"PF","Jason Thompson",4300,"Sac@LAL 10:30PM ET",16.038
"SF","Wesley Johnson",4300,"Sac@LAL 10:30PM ET",17.857
"PF","Brandan Wright",4300,"Dal@Mem 08:00PM ET",19.659
"C","Rudy Gobert",4300,"SA@Uta 09:00PM ET",15.438
"SF","James Johnson",4200,"Tor@Cle 07:00PM ET",17.941
"C","Miles Plumlee",4200,"Mia@Pho 09:00PM ET",16.619
"PF","Ed Davis",4100,"Sac@LAL 10:30PM ET",20.262
"SF","Omri Casspi",4100,"Sac@LAL 10:30PM ET",14.863
"PF","Reggie Evans",4000,"Sac@LAL 10:30PM ET",14.923
"C","Zaza Pachulia",4000,"Mil@OKC 08:00PM ET",17.737
"SG","Courtney Lee",4000,"Dal@Mem 08:00PM ET",22.162
"PF","Andrea Bargnani",4000,"NY@NO 08:00PM ET",0
"SG","Marco Belinelli",4000,"SA@Uta 09:00PM ET",13.292
"SG","O.J. Mayo",4000,"Mil@OKC 08:00PM ET",20.409
"PF","Marcus Morris",4000,"Mia@Pho 09:00PM ET",18.095
"SF","Shawn Marion",3900,"Tor@Cle 07:00PM ET",15.431
"PG","Shabazz Napier",3900,"Mia@Pho 09:00PM ET",14.338
"C","Samuel Dalembert",3800,"NY@NO 08:00PM ET",15.841
"PF","Carl Landry",3800,"Sac@LAL 10:30PM ET",14.875
"C","Aron Baynes",3800,"SA@Uta 09:00PM ET",15.088
"SF","Kyle Singler",3800,"Por@Det 07:30PM ET",13.952
"SG","Jeremy Lamb",3800,"Mil@OKC 08:00PM ET",23.250
"PG","Ronnie Price",3700,"Sac@LAL 10:30PM ET",14.300
"C","Ryan Hollins",3700,"Sac@LAL 10:30PM ET",5.841
"SG","Jodie Meeks",3700,"Por@Det 07:30PM ET",0
"PF","Jon Leuer",3700,"Dal@Mem 08:00PM ET",13.333
"SG","Iman Shumpert",3700,"NY@NO 08:00PM ET",21.429
"SF","Rodney Hood",3700,"SA@Uta 09:00PM ET",11.725
"C","Steven Adams",3700,"Mil@OKC 08:00PM ET",19.563
"PG","J.J. Barea",3600,"Dal@Mem 08:00PM ET",17.845
"SG","Dion Waiters",3600,"Tor@Cle 07:00PM ET",14.926
"PG","Austin Rivers",3600,"NY@NO 08:00PM ET",13.539
"PG","Ramon Sessions",3500,"Sac@LAL 10:30PM ET",12.355
"PF","Dante Cunningham",3500,"NY@NO 08:00PM ET",9.750
"SF","Derrick Williams",3500,"Sac@LAL 10:30PM ET",8.150
"SG","Tim Hardaway Jr.",3500,"NY@NO 08:00PM ET",12.898
"PG","Norris Cole",3400,"Mia@Pho 09:00PM ET",16.281
"PF","Quincy Acy",3400,"NY@NO 08:00PM ET",14.303
"SG","Anthony Morrow",3300,"Mil@OKC 08:00PM ET",18.827
"PF","Trevor Booker",3300,"SA@Uta 09:00PM ET",15.938
"PF","Thomas Robinson",3300,"Por@Det 07:30PM ET",6.594
"SF","Joe Ingles",3300,"SA@Uta 09:00PM ET",9.100
"SG","Andre Roberson",3200,"Mil@OKC 08:00PM ET",15.354
"PG","Steve Nash",3000,"Sac@LAL 10:30PM ET",0
"SG","Vince Carter",3000,"Dal@Mem 08:00PM ET",10.903
"SF","Mike Miller",3000,"Tor@Cle 07:00PM ET",4.865
"SF","Richard Jefferson",3000,"Dal@Mem 08:00PM ET",8.694
"C","Brendan Haywood",3000,"Tor@Cle 07:00PM ET",4.438
"PF","Matt Bonner",3000,"SA@Uta 09:00PM ET",13.018
"C","Nick Collison",3000,"Mil@OKC 08:00PM ET",12.488
"PG","Steve Blake",3000,"Por@Det 07:30PM ET",15.488
"SG","James Jones",3000,"Tor@Cle 07:00PM ET",5.313
"PF","Chuck Hayes",3000,"Tor@Cle 07:00PM ET",6.625
"PF","Louis Amundson",3000,"Tor@Cle 07:00PM ET",5.042
"SF","Danny Granger",3000,"Mia@Pho 09:00PM ET",6.125
"C","Chris Andersen",3000,"Mia@Pho 09:00PM ET",8.278
"SF","Caron Butler",3000,"Por@Det 07:30PM ET",13.036
"SF","Tayshaun Prince",3000,"Dal@Mem 08:00PM ET",13.659
"SF","John Salmons",3000,"NY@NO 08:00PM ET",7.021
"SF","Steve Novak",3000,"SA@Uta 09:00PM ET",3.604
"PF","Shavlik Randolph",3000,"Mia@Pho 09:00PM ET",3.575
"PG","Raymond Felton",3000,"Dal@Mem 08:00PM ET",0
"C","Kendrick Perkins",3000,"Mil@OKC 08:00PM ET",14.388
"PF","Udonis Haslem",3000,"Mia@Pho 09:00PM ET",10.063
"SF","Cartier Martin",3000,"Por@Det 07:30PM ET",4.857
