"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11800,"Cle@OKC 08:00PM ET",46.950
"SG","James Harden",11400,"Hou@Sac 10:30PM ET",48.200
"PG","Russell Westbrook",10700,"Cle@OKC 08:00PM ET",42.750
"SF","Kevin Durant",10500,"Cle@OKC 08:00PM ET",36.000
"C","DeMarcus Cousins",10500,"Hou@Sac 10:30PM ET",47.517
"PF","Kevin Love",9300,"Cle@OKC 08:00PM ET",35.800
"C","Dwight Howard",9200,"Hou@Sac 10:30PM ET",40.475
"PG","Kyrie Irving",9200,"Cle@OKC 08:00PM ET",36.925
"SF","Rudy Gay",8900,"Hou@Sac 10:30PM ET",38.150
"PF","Serge Ibaka",7200,"Cle@OKC 08:00PM ET",31.286
"PG","Darren Collison",6800,"Hou@Sac 10:30PM ET",33.737
"SF","Trevor Ariza",6500,"Hou@Sac 10:30PM ET",29.275
"PF","Terrence Jones",6200,"Hou@Sac 10:30PM ET",31.250
"PG","Reggie Jackson",6100,"Cle@OKC 08:00PM ET",35.667
"SG","Jason Terry",5800,"Hou@Sac 10:30PM ET",17.313
"PG","Patrick Beverley",5600,"Hou@Sac 10:30PM ET",26.125
"PF","Donatas Motiejunas",5400,"Hou@Sac 10:30PM ET",20.750
"PF","Tristan Thompson",5100,"Cle@OKC 08:00PM ET",21.325
"SG","Ben McLemore",5100,"Hou@Sac 10:30PM ET",18.466
"C","Reggie Evans",5000,"Hou@Sac 10:30PM ET",16.517
"C","Anderson Varejao",5000,"Cle@OKC 08:00PM ET",23.237
"PF","Jason Thompson",4600,"Hou@Sac 10:30PM ET",16.614
"PG","Isaiah Canaan",4500,"Hou@Sac 10:30PM ET",16.750
"C","Tarik Black",4400,"Hou@Sac 10:30PM ET",12.792
"SF","Kostas Papanikolaou",4300,"Hou@Sac 10:30PM ET",18.908
"SG","Nick Johnson",4200,"Hou@Sac 10:30PM ET",6.306
"PF","Carl Landry",4000,"Hou@Sac 10:30PM ET",14.273
"SG","Jeremy Lamb",4000,"Cle@OKC 08:00PM ET",22.500
"SF","Francisco Garcia",3900,"Hou@Sac 10:30PM ET",8.339
"C","Steven Adams",3900,"Cle@OKC 08:00PM ET",19.155
"PF","Joey Dorsey",3800,"Hou@Sac 10:30PM ET",8.117
"SF","Shawn Marion",3600,"Cle@OKC 08:00PM ET",14.063
"SF","Derrick Williams",3500,"Hou@Sac 10:30PM ET",8.279
"SG","Dion Waiters",3500,"Cle@OKC 08:00PM ET",16.671
"SG","Anthony Morrow",3300,"Cle@OKC 08:00PM ET",18.161
"SG","Andre Roberson",3300,"Cle@OKC 08:00PM ET",15.404
"SF","Mike Miller",3000,"Cle@OKC 08:00PM ET",4.865
"C","Brendan Haywood",3000,"Cle@OKC 08:00PM ET",4.750
"C","Nick Collison",3000,"Cle@OKC 08:00PM ET",12.488
"SG","James Jones",3000,"Cle@OKC 08:00PM ET",7.125
"PF","Louis Amundson",3000,"Cle@OKC 08:00PM ET",4.500
"C","Ryan Hollins",3000,"Hou@Sac 10:30PM ET",5.942
"C","Kendrick Perkins",3000,"Cle@OKC 08:00PM ET",14.738
"PG","Ramon Sessions",3000,"Hou@Sac 10:30PM ET",12.321
"PG","A.J. Price",3000,"Cle@OKC 08:00PM ET",14.708
"PG","Ish Smith",3000,"Cle@OKC 08:00PM ET",3.375
"SF","Lance Thomas",3000,"Cle@OKC 08:00PM ET",12.188
"SF","Omri Casspi",3000,"Hou@Sac 10:30PM ET",14.863
"PG","Troy Daniels",3000,"Hou@Sac 10:30PM ET",3.077
"PG","Matthew Dellavedova",3000,"Cle@OKC 08:00PM ET",10.850
"SG","Joe Harris",3000,"Cle@OKC 08:00PM ET",5.397
"C","Alex Kirk",3000,"Cle@OKC 08:00PM ET",1.833
"SF","Perry Jones",3000,"Cle@OKC 08:00PM ET",17.464
"PF","Eric Moreland",3000,"Hou@Sac 10:30PM ET",0.625
"PG","Ray McCallum",3000,"Hou@Sac 10:30PM ET",4.688
"PF","Grant Jerrett",3000,"Cle@OKC 08:00PM ET",5.750
"PF","Mitch McGary",3000,"Cle@OKC 08:00PM ET",0
"SG","Nik Stauskas",3000,"Hou@Sac 10:30PM ET",6.693
"PF","Clint Capela",3000,"Hou@Sac 10:30PM ET",3.833
