"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PF","Anthony Davis",11700,"NO@LAL 09:30PM ET",53.426
"SF","Kevin Durant",10700,"OKC@Det 06:00PM ET",28.125
"PG","John Wall",10400,"Was@Bos 01:00PM ET",42.861
"SF","Carmelo Anthony",10100,"Por@NY 07:30PM ET",37.697
"PG","Russell Westbrook",10000,"OKC@Det 06:00PM ET",40.950
"PF","LaMarcus Aldridge",9800,"Por@NY 07:30PM ET",41.875
"SG","Kobe Bryant",9400,"NO@LAL 09:30PM ET",42.050
"PG","Ty Lawson",9200,"Den@Atl 03:30PM ET",38.528
"PG","Damian Lillard",8900,"Por@NY 07:30PM ET",39.342
"PF","Paul Millsap",8800,"Den@Atl 03:30PM ET",37.694
"C","Marc Gasol",8700,"Mia@Mem 06:00PM ET",39.763
"C","Chris Bosh",8500,"Mia@Mem 06:00PM ET",39.526
"C","Andre Drummond",8500,"OKC@Det 06:00PM ET",31.842
"PG","Rajon Rondo",8400,"Was@Bos 01:00PM ET",37.484
"SG","Monta Ellis",8400,"Mil@Dal 07:30PM ET",34.381
"SF","Josh Smith",8000,"OKC@Det 06:00PM ET",34.645
"PG","Jrue Holiday",7800,"NO@LAL 09:30PM ET",32.779
"PG","Jeff Teague",7700,"Den@Atl 03:30PM ET",34.431
"PF","Jared Sullinger",7700,"Was@Bos 01:00PM ET",34.706
"SG","Dwyane Wade",7600,"Mia@Mem 06:00PM ET",36.958
"SG","Tyreke Evans",7500,"NO@LAL 09:30PM ET",34.132
"PF","Zach Randolph",7400,"Mia@Mem 06:00PM ET",33.908
"PG","Mike Conley",7400,"Mia@Mem 06:00PM ET",32.618
"C","Marcin Gortat",7300,"Was@Bos 01:00PM ET",30.764
"SF","Chandler Parsons",7300,"Mil@Dal 07:30PM ET",27.560
"C","Tyson Chandler",7100,"Mil@Dal 07:30PM ET",32.643
"PG","Brandon Jennings",7100,"OKC@Det 06:00PM ET",30.047
"PF","Serge Ibaka",7000,"OKC@Det 06:00PM ET",30.974
"PF","Greg Monroe",6900,"OKC@Det 06:00PM ET",30.103
"PG","Brandon Knight",6900,"Mil@Dal 07:30PM ET",34.917
"PG","Reggie Jackson",6800,"OKC@Det 06:00PM ET",37.344
"SF","Jeff Green",6600,"Was@Bos 01:00PM ET",30.471
"SF","Nicolas Batum",6600,"Por@NY 07:30PM ET",28.483
"C","Al Horford",6500,"Den@Atl 03:30PM ET",27.917
"PF","Dirk Nowitzki",6400,"Mil@Dal 07:30PM ET",32.211
"C","Jordan Hill",6200,"NO@LAL 09:30PM ET",30.238
"PG","Mario Chalmers",6100,"Mia@Mem 06:00PM ET",27.605
"SG","Wesley Matthews",6000,"Por@NY 07:30PM ET",27.737
"PF","Amar'e Stoudemire",5900,"Por@NY 07:30PM ET",25.750
"SF","Wilson Chandler",5900,"Den@Atl 03:30PM ET",26.026
"PF","Ryan Anderson",5900,"NO@LAL 09:30PM ET",25.794
"PF","Carlos Boozer",5700,"NO@LAL 09:30PM ET",23.658
"SG","Bradley Beal",5700,"Was@Bos 01:00PM ET",25.861
"SG","Kyle Korver",5600,"Den@Atl 03:30PM ET",26.500
"SG","J.R. Smith",5500,"Por@NY 07:30PM ET",18.737
"SG","Arron Afflalo",5500,"Den@Atl 03:30PM ET",21.079
"C","Robin Lopez",5500,"Por@NY 07:30PM ET",24.711
"PG","Jeremy Lin",5500,"NO@LAL 09:30PM ET",24.763
"C","Timofey Mozgov",5500,"Den@Atl 03:30PM ET",23.039
"SG","Giannis Antetokounmpo",5500,"Mil@Dal 07:30PM ET",23.881
"PG","Jose Calderon",5400,"Por@NY 07:30PM ET",21.313
"PF","Kenneth Faried",5400,"Den@Atl 03:30PM ET",22.855
