"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11700,"Cle@NY 08:00PM ET",46.313
"PF","Anthony Davis",11600,"NO@GS 10:30PM ET",52.781
"PG","Stephen Curry",10200,"NO@GS 10:30PM ET",45.941
"SF","Carmelo Anthony",9900,"Cle@NY 08:00PM ET",37.588
"PF","LaMarcus Aldridge",9600,"Ind@Por 10:00PM ET",41.765
"PG","Kyrie Irving",9300,"Cle@NY 08:00PM ET",37.766
"PF","Kevin Love",8900,"Cle@NY 08:00PM ET",36.031
"PG","Damian Lillard",8700,"Ind@Por 10:00PM ET",39.222
"PG","Jrue Holiday",7400,"NO@GS 10:30PM ET",33.094
"SG","Klay Thompson",7300,"NO@GS 10:30PM ET",34.875
"SG","Tyreke Evans",7300,"NO@GS 10:30PM ET",34.688
"C","Roy Hibbert",7100,"Ind@Por 10:00PM ET",31.429
"PF","David Lee",7000,"NO@GS 10:30PM ET",5.500
"PF","David West",6600,"Ind@Por 10:00PM ET",25.833
"C","Andrew Bogut",6500,"NO@GS 10:30PM ET",29.471
"SF","Nicolas Batum",6500,"Ind@Por 10:00PM ET",27.964
"SG","Wesley Matthews",6100,"Ind@Por 10:00PM ET",28.528
"PF","Ryan Anderson",6000,"NO@GS 10:30PM ET",26.969
"PG","George Hill",5900,"Ind@Por 10:00PM ET",0
"C","Robin Lopez",5800,"Ind@Por 10:00PM ET",25.319
"SG","J.R. Smith",5700,"Cle@NY 08:00PM ET",18.588
"PG","Jose Calderon",5600,"Cle@NY 08:00PM ET",24.708
"SF","Draymond Green",5600,"NO@GS 10:30PM ET",29.662
"PF","Amar'e Stoudemire",5500,"Cle@NY 08:00PM ET",25.722
"C","Anderson Varejao",5500,"Cle@NY 08:00PM ET",24.083
"SF","Harrison Barnes",5200,"NO@GS 10:30PM ET",23.162
"SG","Iman Shumpert",5100,"Cle@NY 08:00PM ET",22.167
"PF","Tristan Thompson",5100,"Cle@NY 08:00PM ET",19.984
"PF","Luis Scola",5000,"Ind@Por 10:00PM ET",22.000
"PG","Donald Sloan",5000,"Ind@Por 10:00PM ET",25.028
"PF","Marreese Speights",4900,"NO@GS 10:30PM ET",20.969
"SF","Solomon Hill",4800,"Ind@Por 10:00PM ET",22.750
"C","Chris Kaman",4600,"Ind@Por 10:00PM ET",22.097
"SF","Andre Iguodala",4500,"NO@GS 10:30PM ET",16.221
"SG","Rodney Stuckey",4500,"Ind@Por 10:00PM ET",19.545
"SF","Chris Copeland",4400,"Ind@Por 10:00PM ET",20.486
"C","Samuel Dalembert",4300,"Cle@NY 08:00PM ET",15.434
"C","Omer Asik",4300,"NO@GS 10:30PM ET",24.854
"SF","Shawn Marion",4000,"Cle@NY 08:00PM ET",15.547
"PF","Andrea Bargnani",4000,"Cle@NY 08:00PM ET",0
"PG","Steve Blake",3800,"Ind@Por 10:00PM ET",15.528
"C","Lavoy Allen",3800,"Ind@Por 10:00PM ET",20.653
"SG","Dion Waiters",3600,"Cle@NY 08:00PM ET",15.550
"SF","C.J. Miles",3500,"Ind@Por 10:00PM ET",13.750
"PG","Austin Rivers",3400,"NO@GS 10:30PM ET",13.016
"PF","Thomas Robinson",3300,"Ind@Por 10:00PM ET",6.594
"SF","Luke Babbitt",3200,"NO@GS 10:30PM ET",6.563
"PG","Shaun Livingston",3100,"NO@GS 10:30PM ET",10.471
"SF","Mike Miller",3000,"Cle@NY 08:00PM ET",5.083
"C","Brendan Haywood",3000,"Cle@NY 08:00PM ET",4.438
"SG","James Jones",3000,"Cle@NY 08:00PM ET",4.083
"PF","Louis Amundson",3000,"Cle@NY 08:00PM ET",5.042
