"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11400,"Was@Cle 07:00PM ET",46.442
"C","DeMarcus Cousins",10500,"Sac@Hou 08:00PM ET",46.000
"SG","James Harden",10400,"Sac@Hou 08:00PM ET",47.946
"SF","Kevin Durant",10300,"Uta@OKC 08:00PM ET",0
"PG","John Wall",9900,"Was@Cle 07:00PM ET",44.354
"PG","Chris Paul",9500,"LAC@Det 07:30PM ET",45.365
"PF","LaMarcus Aldridge",9500,"Por@Cha 07:00PM ET",40.308
"SF","Carmelo Anthony",9400,"NY@Dal 07:30PM ET",36.583
"PG","Stephen Curry",9400,"GS@Orl 07:00PM ET",45.542
"PG","Damian Lillard",9300,"Por@Cha 07:00PM ET",39.357
"PF","Paul Millsap",9200,"Tor@Atl 07:30PM ET",38.682
"PF","Blake Griffin",9200,"LAC@Det 07:30PM ET",38.250
"SG","Kobe Bryant",9100,"Mem@LAL 10:30PM ET",41.821
"C","Dwight Howard",9100,"Sac@Hou 08:00PM ET",40.475
"C","Nikola Vucevic",8800,"GS@Orl 07:00PM ET",41.266
"C","Marc Gasol",8700,"Mem@LAL 10:30PM ET",38.946
"PG","Kyrie Irving",8600,"Was@Cle 07:00PM ET",36.423
"PG","Ty Lawson",8500,"Den@Pho 09:00PM ET",35.479
"PF","Kevin Love",8400,"Was@Cle 07:00PM ET",35.288
"PF","Tim Duncan",8000,"Ind@SA 08:30PM ET",36.646
"PG","Kyle Lowry",8000,"Tor@Atl 07:30PM ET",36.929
"PF","Zach Randolph",7900,"Mem@LAL 10:30PM ET",35.446
"C","Al Jefferson",7900,"Por@Cha 07:00PM ET",35.817
"SG","Monta Ellis",7900,"NY@Dal 07:30PM ET",32.250
"PG","Mike Conley",7800,"Mem@LAL 10:30PM ET",31.518
"PG","Reggie Jackson",7700,"Uta@OKC 08:00PM ET",40.083
"SG","Eric Bledsoe",7700,"Den@Pho 09:00PM ET",31.817
"PG","Deron Williams",7600,"Bkn@Phi 07:00PM ET",35.442
"SF","Rudy Gay",7600,"Sac@Hou 08:00PM ET",37.173
"SG","Klay Thompson",7400,"GS@Orl 07:00PM ET",36.000
"PG","Kemba Walker",7400,"Por@Cha 07:00PM ET",31.900
"SF","Gordon Hayward",7400,"Uta@OKC 08:00PM ET",34.633
"PG","Brandon Jennings",7400,"LAC@Det 07:30PM ET",30.904
"PG","Ricky Rubio",7400,"Mil@Min 08:00PM ET",32.700
"C","DeAndre Jordan",7200,"LAC@Det 07:30PM ET",30.558
"PF","Derrick Favors",7200,"Uta@OKC 08:00PM ET",33.483
"PG","Michael Carter-Williams",7200,"Bkn@Phi 07:00PM ET",29.607
"C","Andre Drummond",7200,"LAC@Det 07:30PM ET",27.442
"C","Roy Hibbert",7100,"Ind@SA 08:30PM ET",31.115
"SG","DeMar DeRozan",7100,"Tor@Atl 07:30PM ET",32.357
"PG","Brandon Knight",7100,"Mil@Min 08:00PM ET",36.036
"PF","David Lee",7000,"GS@Orl 07:00PM ET",5.500
"C","Al Horford",7000,"Tor@Atl 07:30PM ET",29.045
"PG","Jeff Teague",7000,"Tor@Atl 07:30PM ET",32.500
"PF","Serge Ibaka",7000,"Uta@OKC 08:00PM ET",31.417
"SF","Kawhi Leonard",7000,"Ind@SA 08:30PM ET",30.667
"SF","Tobias Harris",7000,"GS@Orl 07:00PM ET",35.589
"PG","Russell Westbrook",6900,"Uta@OKC 08:00PM ET",32.375
"PF","Greg Monroe",6900,"LAC@Det 07:30PM ET",32.795
"SG","Lance Stephenson",6900,"Por@Cha 07:00PM ET",29.317
"PF","Dirk Nowitzki",6800,"NY@Dal 07:30PM ET",31.583
"PG","Darren Collison",6800,"Sac@Hou 08:00PM ET",34.458
"PF","Markieff Morris",6800,"Den@Pho 09:00PM ET",29.833
"PG","Tony Parker",6700,"Ind@SA 08:30PM ET",27.327
"PF","David West",6600,"Ind@SA 08:30PM ET",0
"C","Jordan Hill",6600,"Mem@LAL 10:30PM ET",32.143
"SF","Nicolas Batum",6600,"Por@Cha 07:00PM ET",27.850
"PG","Goran Dragic",6600,"Den@Pho 09:00PM ET",23.717
"SG","Joe Johnson",6500,"Bkn@Phi 07:00PM ET",30.635
"C","Marcin Gortat",6500,"Was@Cle 07:00PM ET",29.188
"C","Brook Lopez",6500,"Bkn@Phi 07:00PM ET",27.341
"SG","Alec Burks",6500,"Uta@OKC 08:00PM ET",23.900
"C","Gorgui Dieng",6500,"Mil@Min 08:00PM ET",23.896
"SF","Josh Smith",6400,"LAC@Det 07:30PM ET",31.058
"SG","Wesley Matthews",6400,"Por@Cha 07:00PM ET",27.411
"PF","Thaddeus Young",6400,"Mil@Min 08:00PM ET",27.036
"SF","Chandler Parsons",6400,"NY@Dal 07:30PM ET",26.417
"SG","Victor Oladipo",6400,"GS@Orl 07:00PM ET",25.536
"PF","Terrence Jones",6300,"Sac@Hou 08:00PM ET",31.250
"SF","Draymond Green",6200,"GS@Orl 07:00PM ET",30.792
"SG","Giannis Antetokounmpo",6200,"Mil@Min 08:00PM ET",24.054
"C","Tyson Chandler",6100,"NY@Dal 07:30PM ET",28.517
"C","Enes Kanter",6100,"Uta@OKC 08:00PM ET",22.833
"SF","Trevor Ariza",6000,"Sac@Hou 08:00PM ET",28.536
"PF","Kenneth Faried",6000,"Den@Pho 09:00PM ET",24.558
"SG","Bradley Beal",6000,"Was@Cle 07:00PM ET",30.167
"PF","Carlos Boozer",5900,"Mem@LAL 10:30PM ET",24.654
"C","Andrew Bogut",5900,"GS@Orl 07:00PM ET",27.958
"SG","J.R. Smith",5900,"NY@Dal 07:30PM ET",19.732
"PG","George Hill",5900,"Ind@SA 08:30PM ET",0
"C","Jonas Valanciunas",5900,"Tor@Atl 07:30PM ET",25.865
"SF","Wilson Chandler",5800,"Den@Pho 09:00PM ET",25.115
"C","Robin Lopez",5800,"Por@Cha 07:00PM ET",25.821
"SG","Arron Afflalo",5700,"Den@Pho 09:00PM ET",21.250
"PG","Isaiah Thomas",5700,"Den@Pho 09:00PM ET",26.167
"PF","Nerlens Noel",5700,"Bkn@Phi 07:00PM ET",23.729
"SF","Jabari Parker",5700,"Mil@Min 08:00PM ET",22.875
"SF","Paul Pierce",5600,"Was@Cle 07:00PM ET",26.396
"C","Timofey Mozgov",5600,"Den@Pho 09:00PM ET",21.981
"PG","Tony Wroten",5600,"Bkn@Phi 07:00PM ET",34.321
"SG","Kyle Korver",5500,"Tor@Atl 07:30PM ET",26.795
"PG","Trey Burke",5500,"Uta@OKC 08:00PM ET",25.483
"PF","Mirza Teletovic",5500,"Bkn@Phi 07:00PM ET",22.577
"SG","Jamal Crawford",5400,"LAC@Det 07:30PM ET",27.521
