PF,Patrick Patterson,18.1,20,DEN@TOR,"$4,400"
SG,Ben McLemore,16.9,20,UTA@SAC,"$4,400"
PF,Reggie Evans,14,13,UTA@SAC,"$4,300"
SG,Randy Foye,13.4,11,DEN@TOR,"$4,200"
SF,Rasual Butler,15.9,14,BOS@WAS,"$4,200"
PG,Jarrett Jack,18.2,18,CLE@BKN,"$4,200"
C,Lavoy Allen,19.1,19,ATL@IND,"$4,200"
PF,Marcus Morris,16.8,21,PHO@LAC,"$4,200"
PG,Ramon Sessions,11.4,19,UTA@SAC,"$4,200"
PF,Jason Thompson,15.2,20,UTA@SAC,"$4,100"
SF,Matt Barnes,14.2,17,PHO@LAC,"$4,100"
SF,Andre Iguodala,15.4,19,GS@MIN,"$4,100"
SF,Bojan Bogdanovic,14.9,18,CLE@BKN,"$4,100"
SF,Omri Casspi,14.1,20,UTA@SAC,"$4,100"
C,Miles Plumlee,15.7,21,PHO@LAC,"$4,000"
PG,Dennis Schroeder,16.6,17,ATL@IND,"$4,000"
PF,Brandon Bass,14.8,17,BOS@WAS,"$4,000"
SF,James Johnson,17.2,17,DEN@TOR,"$4,000"
C,Spencer Hawes,15.3,19,PHO@LAC,"$4,000"
SF,Shawn Marion,14.6,18,CLE@BKN,"$3,900"
SG,Dion Waiters,13.9,17,CLE@BKN,"$3,900"
C,Tyler Zeller,15.7,17,BOS@WAS,"$3,900"
PF,Darrell Arthur,13.9,18,DEN@TOR,"$3,900"
SF,Danilo Gallinari,14,19,DEN@TOR,"$3,800"
PF,Trevor Booker,14.8,20,UTA@SAC,"$3,800"
PG,C.J. Watson,18.7,5,ATL@IND,"$3,800"
C,Ian Mahinmi,13.9,20,ATL@IND,"$3,800"
SF,C.J. Miles,12.3,13,ATL@IND,"$3,800"
C,Rudy Gobert,14.8,20,UTA@SAC,"$3,700"
PF,Jeff Adrien,13.1,3,GS@MIN,"$3,700"
PG,Shaun Livingston,10.4,19,GS@MIN,"$3,700"
PF,Elton Brand,10.5,4,ATL@IND,"$3,700"
SG,Thabo Sefolosha,14.4,16,ATL@IND,"$3,700"
PF,Mike Muscala,9.2,5,ATL@IND,"$3,600"
PF,Adreian Payne,0,0,ATL@IND,"$3,600"
C,Alex Len,13.7,21,PHO@LAC,"$3,600"
PG,Phil Pressey,8.5,11,BOS@WAS,"$3,600"
SF,Otto Porter,14.4,17,BOS@WAS,"$3,600"
C,Vitor Faverani,10.3,37,BOS@WAS,"$3,600"
PF,Derrick Williams,7.6,15,UTA@SAC,"$3,600"
PG,Garrett Temple,13.6,16,BOS@WAS,"$3,600"
SG,Gary Harris,8.6,7,DEN@TOR,"$3,500"
SG,John Jenkins,14.2,1,ATL@IND,"$3,500"
SG,Ian Clark,3.6,8,UTA@SAC,"$3,500"
C,Lucas Nogueira,8,1,DEN@TOR,"$3,500"
SF,Damjan Rudez,7,19,ATL@IND,"$3,500"
SF,Justin Holiday,1.6,8,GS@MIN,"$3,500"
SF,T.J. Warren,5.6,8,PHO@LAC,"$3,500"
SF,Joe Ingles,8.3,20,UTA@SAC,"$3,500"
PF,Mike Scott,11.2,17,ATL@IND,"$3,500"
SG,Joe Harris,4.8,16,CLE@BKN,"$3,500"
SG,Nik Stauskas,5.3,20,UTA@SAC,"$3,500"
SG,Erick Green,5.9,3,DEN@TOR,"$3,500"
SG,Zoran Dragic,0,1,PHO@LAC,"$3,500"
C,Ognjen Kuzmic,1.8,6,GS@MIN,"$3,500"
SG,C.J. Wilcox,4.5,2,PHO@LAC,"$3,500"
SF,Glenn Robinson III,2.9,7,GS@MIN,"$3,500"
