"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11600,"Mil@Cle 07:00PM ET",46.383
"PF","Anthony Davis",11500,"OKC@NO 08:00PM ET",52.000
"SF","Kevin Durant",11400,"OKC@NO 08:00PM ET",0
"C","DeMarcus Cousins",10600,"Tor@Sac 10:00PM ET",47.517
"PG","Stephen Curry",10300,"Orl@GS 10:30PM ET",46.688
"SF","Carmelo Anthony",9600,"Bkn@NY 07:30PM ET",37.328
"PG","Russell Westbrook",9500,"OKC@NO 08:00PM ET",39.833
"SG","Kobe Bryant",9400,"LAL@Det 07:30PM ET",43.029
"PF","LaMarcus Aldridge",9300,"Por@Den 09:00PM ET",40.641
"PG","Kyrie Irving",9100,"Mil@Cle 07:00PM ET",37.317
"PG","Ty Lawson",9000,"Por@Den 09:00PM ET",37.133
"PF","Paul Millsap",8900,"Bos@Atl 07:30PM ET",37.550
"PG","Damian Lillard",8800,"Por@Den 09:00PM ET",39.691
"PF","Kevin Love",8700,"Mil@Cle 07:00PM ET",35.767
"PG","Kyle Lowry",8600,"Tor@Sac 10:00PM ET",38.809
"C","Nikola Vucevic",8500,"Orl@GS 10:30PM ET",39.592
"PF","Pau Gasol",8200,"Dal@Chi 08:00PM ET",41.464
"PG","Deron Williams",8000,"Bkn@NY 07:30PM ET",35.067
"C","Andre Drummond",7900,"LAL@Det 07:30PM ET",30.132
"SG","Monta Ellis",7800,"Dal@Chi 08:00PM ET",32.917
"PG","Jeff Teague",7700,"Bos@Atl 07:30PM ET",34.333
"SG","Eric Bledsoe",7700,"Ind@Pho 09:00PM ET",31.833
"PG","Rajon Rondo",7600,"Bos@Atl 07:30PM ET",37.038
"SF","Rudy Gay",7600,"Tor@Sac 10:00PM ET",37.317
"PG","Brandon Jennings",7600,"LAL@Det 07:30PM ET",31.482
"SG","Jimmy Butler",7500,"Dal@Chi 08:00PM ET",37.200
"PG","Reggie Jackson",7400,"OKC@NO 08:00PM ET",39.071
"PF","Dirk Nowitzki",7300,"Dal@Chi 08:00PM ET",32.338
"SF","Josh Smith",7300,"LAL@Det 07:30PM ET",33.971
"SG","Tyreke Evans",7300,"OKC@NO 08:00PM ET",34.400
"PF","Serge Ibaka",7200,"OKC@NO 08:00PM ET",31.750
"PG","Jrue Holiday",7200,"OKC@NO 08:00PM ET",32.117
"SG","DeMar DeRozan",7100,"Tor@Sac 10:00PM ET",30.766
"SG","Klay Thompson",7100,"Orl@GS 10:30PM ET",34.500
"PF","Jared Sullinger",7100,"Bos@Atl 07:30PM ET",34.143
"PG","Brandon Knight",7100,"Mil@Cle 07:00PM ET",33.806
"PF","David Lee",7000,"Orl@GS 10:30PM ET",5.500
"C","Roy Hibbert",7000,"Ind@Pho 09:00PM ET",31.115
"PF","Greg Monroe",7000,"LAL@Det 07:30PM ET",29.767
"PG","Goran Dragic",6900,"Ind@Pho 09:00PM ET",24.556
"SF","Tobias Harris",6900,"Orl@GS 10:30PM ET",34.603
"C","Al Horford",6800,"Bos@Atl 07:30PM ET",29.250
"C","Brook Lopez",6800,"Bkn@NY 07:30PM ET",26.538
"PF","David West",6700,"Ind@Pho 09:00PM ET",27.500
"PG","Darren Collison",6700,"Tor@Sac 10:00PM ET",34.250
"PF","Markieff Morris",6700,"Ind@Pho 09:00PM ET",31.236
"C","Tyson Chandler",6600,"Dal@Chi 08:00PM ET",31.542
"C","Joakim Noah",6600,"Dal@Chi 08:00PM ET",30.500
"C","Jordan Hill",6600,"LAL@Det 07:30PM ET",31.029
"SG","Victor Oladipo",6500,"Orl@GS 10:30PM ET",25.825
"SF","Nicolas Batum",6400,"Por@Den 09:00PM ET",27.538
"SG","Joe Johnson",6300,"Bkn@NY 07:30PM ET",29.250
"SF","Jeff Green",6300,"Bos@Atl 07:30PM ET",29.982
"PF","Nikola Mirotic",6300,"Dal@Chi 08:00PM ET",16.765
"SF","Chandler Parsons",6200,"Dal@Chi 08:00PM ET",26.764
"SG","Wesley Matthews",6100,"Por@Den 09:00PM ET",28.853
"PF","Carlos Boozer",6000,"LAL@Det 07:30PM ET",24.219
"C","Andrew Bogut",6000,"Orl@GS 10:30PM ET",28.844
"PF","Ryan Anderson",6000,"OKC@NO 08:00PM ET",25.783
"PG","George Hill",5900,"Ind@Pho 09:00PM ET",0
"SF","Wilson Chandler",5900,"Por@Den 09:00PM ET",25.422
"PG","Derrick Rose",5900,"Dal@Chi 08:00PM ET",27.528
"C","Jonas Valanciunas",5900,"Tor@Sac 10:00PM ET",26.000
"C","Robin Lopez",5800,"Por@Den 09:00PM ET",25.853
"PF","Kenneth Faried",5800,"Por@Den 09:00PM ET",23.906
"SF","Draymond Green",5800,"Orl@GS 10:30PM ET",29.719
"SG","Giannis Antetokounmpo",5800,"Mil@Cle 07:00PM ET",24.125
"SG","J.R. Smith",5700,"Bkn@NY 07:30PM ET",18.588
"SG","Arron Afflalo",5700,"Por@Den 09:00PM ET",22.141
"C","Timofey Mozgov",5700,"Por@Den 09:00PM ET",23.469
"PG","Jose Calderon",5600,"Bkn@NY 07:30PM ET",22.050
"PG","Isaiah Thomas",5600,"Ind@Pho 09:00PM ET",26.167
"PG","Marcus Smart",5600,"Bos@Atl 07:30PM ET",15.050
"PF","Amar'e Stoudemire",5500,"Bkn@NY 07:30PM ET",25.368
"PF","Brandon Bass",5500,"Bos@Atl 07:30PM ET",16.589
"PF","Taj Gibson",5500,"Dal@Chi 08:00PM ET",25.458
"SF","Jabari Parker",5500,"Mil@Cle 07:00PM ET",24.653
"PG","Raymond Felton",5400,"Dal@Chi 08:00PM ET",0
"C","Anderson Varejao",5400,"Mil@Cle 07:00PM ET",24.125
"PG","Jeremy Lin",5300,"LAL@Det 07:30PM ET",26.074
"SG","Kyle Korver",5200,"Bos@Atl 07:30PM ET",25.433
"PF","Channing Frye",5200,"Orl@GS 10:30PM ET",20.375
"PG","Jarrett Jack",5200,"Bkn@NY 07:30PM ET",20.683
"SG","Lou Williams",5200,"Tor@Sac 10:00PM ET",21.191
"PF","Tristan Thompson",5200,"Mil@Cle 07:00PM ET",20.367
"SF","DeMarre Carroll",5100,"Bos@Atl 07:30PM ET",23.886
"SG","Gerald Green",5100,"Ind@Pho 09:00PM ET",21.611
"SG","Evan Fournier",5100,"Orl@GS 10:30PM ET",23.389
"PG","Jameer Nelson",5000,"Dal@Chi 08:00PM ET",19.233
"PF","Luis Scola",5000,"Ind@Pho 09:00PM ET",22.044
"SF","P.J. Tucker",5000,"Ind@Pho 09:00PM ET",20.018
"PG","Donald Sloan",5000,"Ind@Pho 09:00PM ET",25.529
"SF","Danilo Gallinari",5000,"Por@Den 09:00PM ET",15.141
"SG","Iman Shumpert",5000,"Bkn@NY 07:30PM ET",22.603
"PF","Mirza Teletovic",5000,"Bkn@NY 07:30PM ET",21.683
"PG","Devin Harris",4900,"Dal@Chi 08:00PM ET",20.406
"PF","Brandan Wright",4900,"Dal@Chi 08:00PM ET",19.750
"PF","Marreese Speights",4900,"Orl@GS 10:30PM ET",21.100
"C","Larry Sanders",4900,"Mil@Cle 07:00PM ET",21.809
"SF","Solomon Hill",4900,"Ind@Pho 09:00PM ET",23.500
"C","Kelly Olynyk",4900,"Bos@Atl 07:30PM ET",22.768
"PF","Amir Johnson",4800,"Tor@Sac 10:00PM ET",21.429
"SF","Harrison Barnes",4800,"Orl@GS 10:30PM ET",22.453
"SG","Ben McLemore",4800,"Tor@Sac 10:00PM ET",18.809
"PF","Julius Randle",4800,"LAL@Det 07:30PM ET",1.500
"PF","Ersan Ilyasova",4700,"Mil@Cle 07:00PM ET",18.014
"SG","O.J. Mayo",4700,"Mil@Cle 07:00PM ET",20.569
"PF","Patrick Patterson",4700,"Tor@Sac 10:00PM ET",19.809
"C","Chris Kaman",4600,"Por@Den 09:00PM ET",23.029
"SF","Andre Iguodala",4600,"Orl@GS 10:30PM ET",16.406
"PG","J.J. Barea",4600,"Dal@Chi 08:00PM ET",18.809
"PG","Shaun Livingston",4600,"Orl@GS 10:30PM ET",10.797
"SG","Rodney Stuckey",4600,"Ind@Pho 09:00PM ET",20.400
"C","Miles Plumlee",4600,"Ind@Pho 09:00PM ET",16.667
"SG","Avery Bradley",4600,"Bos@Atl 07:30PM ET",20.839
"SF","Bojan Bogdanovic",4600,"Bkn@NY 07:30PM ET",16.117
"SF","Mike Dunleavy",4500,"Dal@Chi 08:00PM ET",20.029
"PF","Reggie Evans",4500,"Tor@Sac 10:00PM ET",15.650
"SF","Chris Copeland",4500,"Ind@Pho 09:00PM ET",20.956
"PG","Leandro Barbosa",4500,"Orl@GS 10:30PM ET",12.214
"PF","Jason Thompson",4500,"Tor@Sac 10:00PM ET",14.691
"PF","Marcus Morris",4500,"Ind@Pho 09:00PM ET",18.056
"SF","Omri Casspi",4500,"Tor@Sac 10:00PM ET",15.044
"SF","Terrence Ross",4500,"Tor@Sac 10:00PM ET",18.882
"PG","Elfrid Payton",4500,"Orl@GS 10:30PM ET",19.908
"PF","Kevin Garnett",4400,"Bkn@NY 07:30PM ET",22.661
"C","Samuel Dalembert",4400,"Bkn@NY 07:30PM ET",15.833
"SG","Nick Young",4400,"LAL@Det 07:30PM ET",19.929
"SG","Kentavious Caldwell-Pope",4400,"LAL@Det 07:30PM ET",20.588
"C","Steven Adams",4400,"OKC@NO 08:00PM ET",21.103
"SF","Wesley Johnson",4300,"LAL@Det 07:30PM ET",18.074
"PG","Greivis Vasquez",4300,"Tor@Sac 10:00PM ET",17.706
"SG","Andre Roberson",4300,"OKC@NO 08:00PM ET",16.417
"SF","Evan Turner",4200,"Bos@Atl 07:30PM ET",18.946
"PF","Ed Davis",4200,"LAL@Det 07:30PM ET",20.456
"PF","Aaron Gordon",4200,"Orl@GS 10:30PM ET",11.841
"PG","D.J. Augustin",4100,"LAL@Det 07:30PM ET",17.632
"SG","Anthony Morrow",4000,"OKC@NO 08:00PM ET",20.475
"PF","Andrea Bargnani",4000,"Bkn@NY 07:30PM ET",0
"C","J.J. Hickson",4000,"Por@Den 09:00PM ET",19.219
"C","Omer Asik",4000,"OKC@NO 08:00PM ET",24.614
"SF","Al-Farouq Aminu",4000,"Dal@Chi 08:00PM ET",14.278
"SG","Dion Waiters",4000,"Mil@Cle 07:00PM ET",16.589
"SF","Shawn Marion",3900,"Mil@Cle 07:00PM ET",15.350
"PG","Aaron Brooks",3900,"Dal@Chi 08:00PM ET",18.618
"SF","Khris Middleton",3900,"Mil@Cle 07:00PM ET",17.150
"SG","Jeremy Lamb",3900,"OKC@NO 08:00PM ET",23.500
"PF","Carl Landry",3800,"Tor@Sac 10:00PM ET",15.662
"SG","Thabo Sefolosha",3800,"Bos@Atl 07:30PM ET",16.135
"SF","James Johnson",3800,"Tor@Sac 10:00PM ET",16.714
"SF","Derrick Williams",3800,"Tor@Sac 10:00PM ET",6.958
"C","Mason Plumlee",3800,"Bkn@NY 07:30PM ET",13.450
"SF","Andrei Kirilenko",3700,"Bkn@NY 07:30PM ET",2.286
"SG","Jodie Meeks",3700,"LAL@Det 07:30PM ET",0
"C","Tyler Zeller",3700,"Bos@Atl 07:30PM ET",13.571
"PG","Kirk Hinrich",3600,"Dal@Chi 08:00PM ET",18.850
"C","Ian Mahinmi",3600,"Ind@Pho 09:00PM ET",14.824
"SG","Tim Hardaway Jr.",3600,"Bkn@NY 07:30PM ET",12.278
"PG","Austin Rivers",3600,"OKC@NO 08:00PM ET",13.583
"PG","Steve Blake",3500,"Por@Den 09:00PM ET",15.162
"SF","C.J. Miles",3500,"Ind@Pho 09:00PM ET",12.975
"C","JaVale McGee",3500,"Por@Den 09:00PM ET",11.365
"SF","Kyle Singler",3500,"LAL@Det 07:30PM ET",12.853
