"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF","LeBron James",11600,"Ind@Cle 07:30PM ET",47.375
"PF","Anthony Davis",11400,"NO@Was 07:00PM ET",52.304
"SG","James Harden",10500,"Hou@Mil 09:00PM ET",47.750
"PG","Chris Paul",9800,"LAC@Uta 09:00PM ET",44.000
"PG","John Wall",9800,"NO@Was 07:00PM ET",42.893
"PF","Blake Griffin",9400,"LAC@Uta 09:00PM ET",38.467
"C","Dwight Howard",9100,"Hou@Mil 09:00PM ET",40.475
"PF","Paul Millsap",9000,"Cha@Atl 07:30PM ET",37.911
"PG","Kyrie Irving",8800,"Ind@Cle 07:30PM ET",36.232
"PF","Kevin Love",8500,"Ind@Cle 07:30PM ET",34.821
"C","Al Jefferson",8400,"Cha@Atl 07:30PM ET",36.353
"SG","Monta Ellis",8400,"Dal@Phi 07:00PM ET",32.824
"PF","Dirk Nowitzki",7500,"Dal@Phi 07:00PM ET",32.338
"PG","Jeff Teague",7400,"Cha@Atl 07:30PM ET",35.036
"PG","Kemba Walker",7400,"Cha@Atl 07:30PM ET",32.706
"C","DeAndre Jordan",7200,"LAC@Uta 09:00PM ET",29.850
"PG","Jrue Holiday",7200,"NO@Was 07:00PM ET",32.393
"SF","Gordon Hayward",7200,"LAC@Uta 09:00PM ET",35.156
"PG","Brandon Knight",7200,"Hou@Mil 09:00PM ET",34.544
"PF","Derrick Favors",7100,"LAC@Uta 09:00PM ET",32.797
"C","Roy Hibbert",7000,"Ind@Cle 07:30PM ET",31.115
"C","Al Horford",7000,"Cha@Atl 07:30PM ET",29.661
"SG","Tyreke Evans",7000,"NO@Was 07:00PM ET",35.018
"SG","Lance Stephenson",7000,"Cha@Atl 07:30PM ET",29.309
"PG","Michael Carter-Williams",7000,"Dal@Phi 07:00PM ET",28.969
"PF","David West",6800,"Ind@Cle 07:30PM ET",33.500
"C","Marcin Gortat",6600,"NO@Was 07:00PM ET",28.357
"C","Tyson Chandler",6500,"Dal@Phi 07:00PM ET",30.471
"SF","Chandler Parsons",6400,"Dal@Phi 07:00PM ET",26.309
"SG","Alec Burks",6300,"LAC@Uta 09:00PM ET",24.234
"PF","Terrence Jones",6300,"Hou@Mil 09:00PM ET",31.250
"PF","Ryan Anderson",6200,"NO@Was 07:00PM ET",25.911
"C","Enes Kanter",6100,"LAC@Uta 09:00PM ET",23.109
"SF","Trevor Ariza",6000,"Hou@Mil 09:00PM ET",28.422
"SG","Bradley Beal",6000,"NO@Was 07:00PM ET",26.400
"PG","George Hill",5900,"Ind@Cle 07:30PM ET",0
"SG","Giannis Antetokounmpo",5900,"Hou@Mil 09:00PM ET",23.618
"PG","Tony Wroten",5800,"Dal@Phi 07:00PM ET",34.500
"PF","Nerlens Noel",5600,"Dal@Phi 07:00PM ET",23.385
"SF","Paul Pierce",5500,"NO@Was 07:00PM ET",25.839
"SG","Jamal Crawford",5500,"LAC@Uta 09:00PM ET",28.786
"PG","Raymond Felton",5500,"Dal@Phi 07:00PM ET",0
"C","Anderson Varejao",5500,"Ind@Cle 07:30PM ET",24.125
"PG","Trey Burke",5500,"LAC@Uta 09:00PM ET",25.234
"SG","Kyle Korver",5300,"Cha@Atl 07:30PM ET",25.607
"PG","Donald Sloan",5200,"Ind@Cle 07:30PM ET",26.469
"C","Henry Sims",5200,"Dal@Phi 07:00PM ET",20.800
"PF","Luis Scola",5100,"Ind@Cle 07:30PM ET",22.125
"PF","Brandan Wright",5100,"Dal@Phi 07:00PM ET",19.838
