PF,Anthony Davis,49.2,19,NY@NO,"$11,400"
SF,LeBron James,43.5,18,TOR@CLE,"$10,600"
C,DeMarcus Cousins,43.9,15,SAC@LAL,"$10,100"
PG,Russell Westbrook,38.7,6,MIL@OKC,"$9,800"
SF,Kevin Durant,29.7,3,MIL@OKC,"$9,800"
PF,LaMarcus Aldridge,39.7,19,POR@DET,"$9,700"
PG,Kyle Lowry,38,20,TOR@CLE,"$9,300"
SF,Carmelo Anthony,35.6,20,NY@NO,"$9,300"
SG,Kobe Bryant,38.2,21,SAC@LAL,"$8,700"
C,Chris Bosh,36,20,MIA@PHO,"$8,500"
PG,Kyrie Irving,36,18,TOR@CLE,"$8,500"
PF,Kevin Love,32.4,18,TOR@CLE,"$8,400"
PG,Damian Lillard,36.1,20,POR@DET,"$8,400"
C,Marc Gasol,36.7,20,DAL@MEM,"$8,400"
SF,Rudy Gay,35.6,18,SAC@LAL,"$8,300"
SG,Dwyane Wade,34.6,13,MIA@PHO,"$8,100"
PF,Tim Duncan,34.8,18,SA@UTA,"$8,000"
SF,Josh Smith,32.5,21,POR@DET,"$8,000"
SG,Monta Ellis,32.5,22,DAL@MEM,"$7,800"
PF,Serge Ibaka,29,20,MIL@OKC,"$7,800"
C,Andre Drummond,29.4,21,POR@DET,"$7,700"
SG,DeMar DeRozan,29.3,16,TOR@CLE,"$7,600"
PG,Darren Collison,31.7,17,SAC@LAL,"$7,600"
PF,Dirk Nowitzki,30.2,20,DAL@MEM,"$7,500"
SG,Eric Bledsoe,31,21,MIA@PHO,"$7,500"
SF,Gordon Hayward,32.2,20,SA@UTA,"$7,500"
PG,Brandon Knight,31.7,22,MIL@OKC,"$7,500"
PF,Zach Randolph,31.4,20,DAL@MEM,"$7,400"
PF,Derrick Favors,31.9,19,SA@UTA,"$7,300"
PG,Goran Dragic,25.7,21,MIA@PHO,"$7,300"
SG,Tyreke Evans,31,19,NY@NO,"$7,200"
PG,Jrue Holiday,30.6,19,NY@NO,"$7,200"
SF,Kawhi Leonard,30.1,19,SA@UTA,"$7,200"
C,Tyson Chandler,30.3,22,DAL@MEM,"$7,100"
PF,Markieff Morris,29,21,MIA@PHO,"$7,000"
PG,Reggie Jackson,33.4,17,MIL@OKC,"$6,800"
PG,Mike Conley,29.8,20,DAL@MEM,"$6,800"
SF,Nicolas Batum,26.8,16,POR@DET,"$6,700"
PF,Greg Monroe,27.6,19,POR@DET,"$6,600"
