"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PF","Anthony Davis",11600,"NO@LAC 10:30PM ET",53.426
"SG","James Harden",11300,"Pho@Hou 08:00PM ET",48.132
"C","DeMarcus Cousins",10600,"Orl@Sac 10:00PM ET",47.517
"PG","Stephen Curry",10300,"GS@Chi 08:00PM ET",46.236
"PG","Chris Paul",10100,"NO@LAC 10:30PM ET",43.014
"PF","Blake Griffin",9900,"NO@LAC 10:30PM ET",38.889
"C","Dwight Howard",9200,"Pho@Hou 08:00PM ET",40.475
"C","Andre Drummond",8700,"Phi@Det 07:30PM ET",31.842
"PF","Pau Gasol",8600,"GS@Chi 08:00PM ET",42.297
"PG","Michael Carter-Williams",8500,"Phi@Det 07:30PM ET",36.583
"PF","Tim Duncan",8400,"Min@SA 08:30PM ET",37.324
"C","Nikola Vucevic",8300,"Orl@Sac 10:00PM ET",39.592
"SF","Josh Smith",8200,"Phi@Det 07:30PM ET",34.645
"SG","Eric Bledsoe",8000,"Pho@Hou 08:00PM ET",32.925
"PG","Brandon Jennings",7900,"Phi@Det 07:30PM ET",30.047
"SF","Kawhi Leonard",7700,"Min@SA 08:30PM ET",32.528
"SF","Rudy Gay",7600,"Orl@Sac 10:00PM ET",37.941
"PG","Goran Dragic",7500,"Pho@Hou 08:00PM ET",27.513
"PG","Jrue Holiday",7400,"NO@LAC 10:30PM ET",32.779
"PF","Greg Monroe",7400,"Phi@Det 07:30PM ET",30.103
"PG","Ricky Rubio",7400,"Min@SA 08:30PM ET",32.700
"SG","Klay Thompson",7300,"GS@Chi 08:00PM ET",35.353
"PG","Tony Parker",7200,"Min@SA 08:30PM ET",27.417
"SG","Jimmy Butler",7200,"GS@Chi 08:00PM ET",37.059
"PF","Markieff Morris",7200,"Pho@Hou 08:00PM ET",31.338
"PF","David Lee",7100,"GS@Chi 08:00PM ET",5.500
"SG","Tyreke Evans",7100,"NO@LAC 10:30PM ET",34.132
"C","Gorgui Dieng",7000,"Min@SA 08:30PM ET",25.500
"C","Joakim Noah",6900,"GS@Chi 08:00PM ET",31.719
"PF","Thaddeus Young",6900,"Min@SA 08:30PM ET",25.885
"C","DeAndre Jordan",6900,"NO@LAC 10:30PM ET",30.750
"SF","Tobias Harris",6800,"Orl@Sac 10:00PM ET",34.388
"SF","Trevor Ariza",6500,"Pho@Hou 08:00PM ET",29.382
"PG","Darren Collison",6500,"Orl@Sac 10:00PM ET",33.703
"C","Andrew Bogut",6400,"GS@Chi 08:00PM ET",29.542
"SG","Victor Oladipo",6300,"Orl@Sac 10:00PM ET",27.096
