"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"C","DeMarcus Cousins",10600,"Mem@Sac 06:00PM ET",47.517
"PG","Stephen Curry",9900,"GS@Det 03:30PM ET",47.250
"SF","Carmelo Anthony",9400,"Mia@NY 07:30PM ET",36.583
"SG","Kobe Bryant",9200,"Tor@LAL 09:30PM ET",41.453
"PF","LaMarcus Aldridge",9100,"Min@Por 09:00PM ET",40.100
"PG","Damian Lillard",8900,"Min@Por 09:00PM ET",39.781
"C","Nikola Vucevic",8800,"Orl@Pho 08:00PM ET",40.125
"C","Marc Gasol",8700,"Mem@Sac 06:00PM ET",40.141
"C","Chris Bosh",8400,"Mia@NY 07:30PM ET",39.867
"PG","Kyle Lowry",8400,"Tor@LAL 09:30PM ET",37.766
"PF","Tim Duncan",7900,"SA@Bos 01:00PM ET",36.554
"PF","Zach Randolph",7900,"Mem@Sac 06:00PM ET",34.891
"PG","Deron Williams",7800,"Chi@Bkn 03:00PM ET",36.375
"PG","Rajon Rondo",7800,"SA@Bos 01:00PM ET",38.083
"SG","Eric Bledsoe",7700,"Orl@Pho 08:00PM ET",32.221
"PF","Pau Gasol",7600,"Chi@Bkn 03:00PM ET",40.865
"SF","Rudy Gay",7500,"Mem@Sac 06:00PM ET",37.875
"PG","Mike Conley",7500,"Mem@Sac 06:00PM ET",32.641
"SG","Jimmy Butler",7400,"Chi@Bkn 03:00PM ET",36.929
"PG","Ricky Rubio",7400,"Min@Por 09:00PM ET",32.700
"PF","Jared Sullinger",7400,"SA@Bos 01:00PM ET",34.981
"SG","Klay Thompson",7300,"GS@Det 03:30PM ET",35.304
"PG","Brandon Jennings",7300,"GS@Det 03:30PM ET",30.904
"C","Andre Drummond",7300,"GS@Det 03:30PM ET",31.031
"SG","Dwyane Wade",7100,"Mia@NY 07:30PM ET",36.688
"SG","DeMar DeRozan",7100,"Tor@LAL 09:30PM ET",30.766
"PF","David Lee",7000,"GS@Det 03:30PM ET",5.500
"SF","Tobias Harris",7000,"Orl@Pho 08:00PM ET",34.516
"PF","Thaddeus Young",6900,"Min@Por 09:00PM ET",25.444
"SF","Kawhi Leonard",6900,"SA@Bos 01:00PM ET",32.375
"PG","Tony Parker",6700,"SA@Bos 01:00PM ET",28.833
"PG","Darren Collison",6700,"Mem@Sac 06:00PM ET",33.596
"PF","Greg Monroe",6700,"GS@Det 03:30PM ET",29.929
"PF","Markieff Morris",6700,"Orl@Pho 08:00PM ET",30.544
"C","Gorgui Dieng",6700,"Min@Por 09:00PM ET",23.929
"SF","Josh Smith",6600,"GS@Det 03:30PM ET",32.703
"SF","Jeff Green",6600,"SA@Bos 01:00PM ET",30.712
"PG","Mario Chalmers",6600,"Mia@NY 07:30PM ET",28.200
"C","Jordan Hill",6600,"Tor@LAL 09:30PM ET",30.469
"C","Brook Lopez",6600,"Chi@Bkn 03:00PM ET",27.625
"PG","Goran Dragic",6600,"Orl@Pho 08:00PM ET",23.824
"PF","Channing Frye",6500,"Orl@Pho 08:00PM ET",20.838
"C","Joakim Noah",6500,"Chi@Bkn 03:00PM ET",31.192
