PF,Anthony Davis,49.2,19,NO@DAL,"$11,400"
SG,James Harden,44.3,20,HOU@GS,"$10,300"
PG,Stephen Curry,41.9,20,HOU@GS,"$10,200"
PG,Chris Paul,40.8,20,LAC@IND,"$10,100"
PF,Blake Griffin,38.4,20,LAC@IND,"$9,900"
PG,John Wall,41.1,20,WAS@ORL,"$9,900"
PF,LaMarcus Aldridge,39.7,19,POR@MIN,"$9,700"
SF,Carmelo Anthony,35.6,20,NY@SA,"$9,500"
PG,Michael Carter-Williams,34.8,13,PHI@ATL,"$9,400"
PF,Pau Gasol,40.3,17,BKN@CHI,"$9,300"
C,Dwight Howard,37.2,10,HOU@GS,"$9,100"
PG,Ty Lawson,35.8,20,MIA@DEN,"$9,000"
C,Nikola Vucevic,36.6,19,WAS@ORL,"$8,500"
C,Chris Bosh,36,20,MIA@DEN,"$8,500"
PG,Damian Lillard,36.1,20,POR@MIN,"$8,400"
PF,Paul Millsap,34.7,20,PHI@ATL,"$8,400"
PG,Rajon Rondo,33.7,18,BOS@CHA,"$8,400"
C,Al Jefferson,33.5,20,BOS@CHA,"$8,300"
SG,Dwyane Wade,34.6,13,MIA@DEN,"$8,100"
SG,Jimmy Butler,35.5,18,BKN@CHI,"$8,100"
PF,Tim Duncan,34.8,18,NY@SA,"$8,000"
SG,Monta Ellis,32.5,22,NO@DAL,"$7,800"
C,Joakim Noah,29.5,17,BKN@CHI,"$7,800"
SG,Klay Thompson,32.8,19,HOU@GS,"$7,700"
PG,Deron Williams,31.3,19,BKN@CHI,"$7,700"
PF,Dirk Nowitzki,30.2,20,NO@DAL,"$7,500"
C,Marcin Gortat,29.2,20,WAS@ORL,"$7,400"
PG,Jeff Teague,31.9,20,PHI@ATL,"$7,300"
SF,Draymond Green,29.4,20,HOU@GS,"$7,300"
C,DeAndre Jordan,30,20,LAC@IND,"$7,200"
SF,Kawhi Leonard,30.1,19,NY@SA,"$7,200"
PG,Kemba Walker,30.4,20,BOS@CHA,"$7,200"
SG,Tyreke Evans,31,19,NO@DAL,"$7,200"
SF,Tobias Harris,32.2,21,WAS@ORL,"$7,200"
PG,Jrue Holiday,30.6,19,NO@DAL,"$7,200"
C,Tyson Chandler,30.3,22,NO@DAL,"$7,100"
PF,David Lee,5,1,HOU@GS,"$7,000"
SF,Jeff Green,28.9,19,BOS@CHA,"$6,900"
C,Al Horford,27.9,20,PHI@ATL,"$6,900"
PG,Ricky Rubio,30.5,5,POR@MIN,"$6,800"
C,Brook Lopez,27.2,16,BKN@CHI,"$6,800"
PG,Tony Wroten,31.6,15,PHI@ATL,"$6,800"
