"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SG","James Harden",10200,"Hou@LAL 10:30PM ET",44.177
"PF","Anthony Davis",9500,"Orl@NO 08:00PM ET",44.019
"C","Dwight Howard",8800,"Hou@LAL 10:30PM ET",41.890
"SG","Kobe Bryant",7800,"Hou@LAL 10:30PM ET",28.833
"SG","Monta Ellis",7800,"Dal@SA 08:00PM ET",34.691
"PG","Jrue Holiday",7800,"Orl@NO 08:00PM ET",34.662
"PF","Tim Duncan",7600,"Dal@SA 08:00PM ET",35.621
"C","Nikola Vucevic",7600,"Orl@NO 08:00PM ET",34.412
"PF","Dirk Nowitzki",7400,"Dal@SA 08:00PM ET",36.466
"SG","Victor Oladipo",7400,"Orl@NO 08:00PM ET",28.278
"SF","Chandler Parsons",7300,"Dal@SA 08:00PM ET",32.844
"PF","Carlos Boozer",7000,"Hou@LAL 10:30PM ET",27.435
"SG","Tyreke Evans",6600,"Orl@NO 08:00PM ET",30.052
"PG","Tony Parker",6400,"Dal@SA 08:00PM ET",28.594
"PG","Jeremy Lin",6400,"Hou@LAL 10:30PM ET",24.075
"PF","Terrence Jones",6300,"Hou@LAL 10:30PM ET",26.137
"SF","Trevor Ariza",6200,"Hou@LAL 10:30PM ET",30.372
"SF","Kawhi Leonard",6200,"Dal@SA 08:00PM ET",28.542
"PF","Jordan Hill",5900,"Hou@LAL 10:30PM ET",22.455
"PF","Ryan Anderson",5800,"Orl@NO 08:00PM ET",31.932
"C","Omer Asik",5800,"Orl@NO 08:00PM ET",18.218
"SF","Tobias Harris",5800,"Orl@NO 08:00PM ET",27.270
"C","Tyson Chandler",5700,"Dal@SA 08:00PM ET",25.750
"PF","Channing Frye",5400,"Orl@NO 08:00PM ET",22.665
"SG","Eric Gordon",5200,"Orl@NO 08:00PM ET",25.965
"PG","Elfrid Payton",5200,"Orl@NO 08:00PM ET",0
"PG","Patrick Beverley",5100,"Hou@LAL 10:30PM ET",22.077
"C","Tiago Splitter",5100,"Dal@SA 08:00PM ET",20.316
"PF","Aaron Gordon",4900,"Orl@NO 08:00PM ET",0
"SG","Manu Ginobili",4800,"Dal@SA 08:00PM ET",25.247
"PF","Julius Randle",4800,"Hou@LAL 10:30PM ET",0
"PG","Jameer Nelson",4600,"Dal@SA 08:00PM ET",27.982
"SF","Maurice Harkless",4600,"Orl@NO 08:00PM ET",16.550
"SG","Nick Young",4500,"Hou@LAL 10:30PM ET",25.469
"SG","Danny Green",4500,"Dal@SA 08:00PM ET",19.518
"PF","Boris Diaw",4400,"Dal@SA 08:00PM ET",19.799
"PG","Devin Harris",4200,"Dal@SA 08:00PM ET",18.840
"SG","Marco Belinelli",4200,"Dal@SA 08:00PM ET",18.335
"SF","Wesley Johnson",4000,"Hou@LAL 10:30PM ET",21.177
"SF","Donatas Motiejunas",4000,"Hou@LAL 10:30PM ET",12.028
"PF","Ed Davis",3900,"Hou@LAL 10:30PM ET",12.289
"SG","Jason Terry",3700,"Hou@LAL 10:30PM ET",9.179
"PF","Brandan Wright",3700,"Dal@SA 08:00PM ET",17.359
"C","Kyle O'Quinn",3700,"Orl@NO 08:00PM ET",17.667
"PG","Bryce Cotton",3600,"Dal@SA 08:00PM ET",0
"PG","Steve Nash",3000,"Hou@LAL 10:30PM ET",17.203
"SF","Richard Jefferson",3000,"Dal@SA 08:00PM ET",17.735
"PF","Matt Bonner",3000,"Dal@SA 08:00PM ET",6.564
"SG","Willie Green",3000,"Orl@NO 08:00PM ET",8.938
"PG","Luke Ridnour",3000,"Orl@NO 08:00PM ET",12.165
"PF","Josh Powell",3000,"Hou@LAL 10:30PM ET",11.750
"SG","Ben Gordon",3000,"Orl@NO 08:00PM ET",9.566
"PG","Ronnie Price",3000,"Hou@LAL 10:30PM ET",8.782
"SF","John Salmons",3000,"Orl@NO 08:00PM ET",11.860
"SF","Francisco Garcia",3000,"Hou@LAL 10:30PM ET",12.474
"PG","Raymond Felton",3000,"Dal@SA 08:00PM ET",24.665
"PF","Charlie Villanueva",3000,"Dal@SA 08:00PM ET",8.250
"PF","Joey Dorsey",3000,"Hou@LAL 10:30PM ET",0
"PF","Jeff Ayres",3000,"Dal@SA 08:00PM ET",8.457
"PF","Ivan Johnson",3000,"Dal@SA 08:00PM ET",0
"SF","Jeff Adrien",3000,"Hou@LAL 10:30PM ET",17.132
"C","Aron Baynes",3000,"Dal@SA 08:00PM ET",7.094
"PG","Dionte Christmas",3000,"Orl@NO 08:00PM ET",4.581
"SG","Wayne Ellington",3000,"Hou@LAL 10:30PM ET",6.037
"PG","Ish Smith",3000,"Hou@LAL 10:30PM ET",11.182
"PF","Vernon Macklin",3000,"Orl@NO 08:00PM ET",0
"PG","Gal Mekel",3000,"Dal@SA 08:00PM ET",6.395
"SF","Austin Daye",3000,"Dal@SA 08:00PM ET",5.761
"C","Robert Sacre",3000,"Hou@LAL 10:30PM ET",13.292
"PG","Jimmer Fredette",3000,"Orl@NO 08:00PM ET",9.469
"PG","Patty Mills",3000,"Dal@SA 08:00PM ET",16.982
"PF","Alexis Ajinca",3000,"Orl@NO 08:00PM ET",15.094
"C","Jeff Withey",3000,"Orl@NO 08:00PM ET",9.250
"SF","Al-Farouq Aminu",3000,"Dal@SA 08:00PM ET",19.663
"PF","JaMychal Green",3000,"Dal@SA 08:00PM ET",0
"SF","Luke Babbitt",3000,"Orl@NO 08:00PM ET",13.704
"PF","Andrew Nicholson",3000,"Orl@NO 08:00PM ET",11.398
"PG","Seth Curry",3000,"Orl@NO 08:00PM ET",4.375
