"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PG","Stephen Curry",10200,"GS@Pho 08:00PM ET",53.500
"C","DeMarcus Cousins",10000,"Sac@OKC 07:00PM ET",45.375
"C","Chris Bosh",8700,"Mia@Dal 07:30PM ET",44.167
"PG","Kyle Lowry",8700,"Phi@Tor 07:00PM ET",37.292
"C","Al Jefferson",8600,"Cha@LAL 09:30PM ET",40.333
"PF","LaMarcus Aldridge",8600,"Den@Por 09:00PM ET",35.625
"SG","Kobe Bryant",8500,"Cha@LAL 09:30PM ET",41.000
"SG","DeMar DeRozan",8400,"Phi@Tor 07:00PM ET",36.000
"C","Nikola Vucevic",8300,"Orl@Bkn 03:30PM ET",40.417
"PG","Kemba Walker",8200,"Cha@LAL 09:30PM ET",32.875
"SG","Gordon Hayward",7800,"Uta@Det 06:00PM ET",36.250
"PG","Deron Williams",7700,"Orl@Bkn 03:30PM ET",35.250
"SF","Rudy Gay",7700,"Sac@OKC 07:00PM ET",36.333
"PG","Damian Lillard",7700,"Den@Por 09:00PM ET",35.542
"SG","Dwyane Wade",7600,"Mia@Dal 07:30PM ET",36.667
"SF","Josh Smith",7600,"Uta@Det 06:00PM ET",35.050
"PG","Tony Wroten",7600,"Phi@Tor 07:00PM ET",44.375
"PF","Serge Ibaka",7500,"Sac@OKC 07:00PM ET",32.917
"SG","Klay Thompson",7300,"GS@Pho 08:00PM ET",35.450
"PF","Dirk Nowitzki",7200,"Mia@Dal 07:30PM ET",33.958
"SG","Joe Johnson",7200,"Orl@Bkn 03:30PM ET",35.600
"C","Andre Drummond",7200,"Uta@Det 06:00PM ET",28.800
"PF","Greg Monroe",7100,"Uta@Det 06:00PM ET",38.000
"PF","Derrick Favors",7100,"Uta@Det 06:00PM ET",32.958
"SG","Lance Stephenson",7000,"Cha@LAL 09:30PM ET",29.708
"SF","Tobias Harris",6800,"Orl@Bkn 03:30PM ET",33.250
"PG","Ty Lawson",6700,"Den@Por 09:00PM ET",26.813
"C","Brook Lopez",6700,"Orl@Bkn 03:30PM ET",30.667
"SF","Nicolas Batum",6700,"Den@Por 09:00PM ET",30.708
"PG","Darren Collison",6600,"Sac@OKC 07:00PM ET",33.542
"PF","Markieff Morris",6600,"GS@Pho 08:00PM ET",32.708
"SG","Eric Bledsoe",6600,"GS@Pho 08:00PM ET",31.625
"SG","Monta Ellis",6500,"Mia@Dal 07:30PM ET",28.917
"PF","Jordan Hill",6400,"Cha@LAL 09:30PM ET",32.300
"PG","Isaiah Thomas",6300,"GS@Pho 08:00PM ET",25.875
"SF","Chandler Parsons",6200,"Mia@Dal 07:30PM ET",25.042
"PF","Kenneth Faried",6200,"Den@Por 09:00PM ET",26.150
"PG","Goran Dragic",6200,"GS@Pho 08:00PM ET",22.875
"SG","Wesley Matthews",6100,"Den@Por 09:00PM ET",26.875
"C","Robin Lopez",6100,"Den@Por 09:00PM ET",28.542
"PG","Reggie Jackson",6000,"Sac@OKC 07:00PM ET",39.583
"C","Jonas Valanciunas",5900,"Phi@Tor 07:00PM ET",24.700
"PF","Amir Johnson",5800,"Phi@Tor 07:00PM ET",27.500
"C","Andrew Bogut",5700,"GS@Pho 08:00PM ET",29.850
"SF","Draymond Green",5700,"GS@Pho 08:00PM ET",29.550
"PF","Nerlens Noel",5700,"Phi@Tor 07:00PM ET",24.100
"C","Tyson Chandler",5600,"Mia@Dal 07:30PM ET",26.500
"PG","Elfrid Payton",5600,"Orl@Bkn 03:30PM ET",27.250
"PF","Channing Frye",5500,"Orl@Bkn 03:30PM ET",19.950
"PF","Carlos Boozer",5500,"Cha@LAL 09:30PM ET",20.800
"PF","Patrick Patterson",5500,"Phi@Tor 07:00PM ET",19.875
"PG","Brandon Jennings",5500,"Uta@Det 06:00PM ET",22.700
"SG","Alec Burks",5500,"Uta@Det 06:00PM ET",23.667
"SF","Luol Deng",5300,"Mia@Dal 07:30PM ET",22.375
"PG","Jeremy Lin",5300,"Cha@LAL 09:30PM ET",21.050
"C","Miles Plumlee",5100,"GS@Pho 08:00PM ET",18.292
"SF","Terrence Ross",5100,"Phi@Tor 07:00PM ET",17.208
"PF","Kevin Garnett",5000,"Orl@Bkn 03:30PM ET",22.200
"PG","Devin Harris",5000,"Mia@Dal 07:30PM ET",24.208
"PF","David Lee",5000,"GS@Pho 08:00PM ET",5.500
"PG","Mario Chalmers",5000,"Mia@Dal 07:30PM ET",21.208
"SF","Mirza Teletovic",5000,"Orl@Bkn 03:30PM ET",23.850
"PF","Ed Davis",4900,"Cha@LAL 09:30PM ET",25.700
"C","Enes Kanter",4900,"Uta@Det 06:00PM ET",18.542
"PG","Trey Burke",4900,"Uta@Det 06:00PM ET",21.875
"SG","Evan Fournier",4900,"Orl@Bkn 03:30PM ET",22.250
"PG","Nate Robinson",4800,"Den@Por 09:00PM ET",12.600
"SG","Arron Afflalo",4800,"Den@Por 09:00PM ET",18.000
"SG","Kentavious Caldwell-Pope",4800,"Uta@Det 06:00PM ET",23.300
"PF","Marcus Morris",4700,"GS@Pho 08:00PM ET",18.875
"SF","Michael Kidd-Gilchrist",4700,"Cha@LAL 09:30PM ET",24.438
"SG","Gerald Green",4600,"GS@Pho 08:00PM ET",18.833
"C","Timofey Mozgov",4600,"Den@Por 09:00PM ET",17.350
"PF","Cody Zeller",4600,"Cha@LAL 09:30PM ET",18.958
"SG","Randy Foye",4400,"Den@Por 09:00PM ET",21.000
"SF","Andre Iguodala",4400,"GS@Pho 08:00PM ET",20.350
"SG","Gary Neal",4400,"Cha@LAL 09:30PM ET",23.000
"SF","Luc Richard Mbah a Moute",4400,"Phi@Tor 07:00PM ET",21.800
"SF","Wilson Chandler",4400,"Den@Por 09:00PM ET",20.700
"PG","D.J. Augustin",4300,"Uta@Det 06:00PM ET",20.300
"C","Henry Sims",4300,"Phi@Tor 07:00PM ET",18.833
"SF","Hollis Thompson",4300,"Phi@Tor 07:00PM ET",22.750
"SF","Harrison Barnes",4300,"GS@Pho 08:00PM ET",17.300
"SF","K.J. McDaniels",4300,"Phi@Tor 07:00PM ET",17.500
"PG","Jarrett Jack",4200,"Orl@Bkn 03:30PM ET",17.000
"C","Mason Plumlee",4200,"Orl@Bkn 03:30PM ET",15.300
"SF","P.J. Tucker",4100,"GS@Pho 08:00PM ET",24.250
"C","Steven Adams",4100,"Sac@OKC 07:00PM ET",23.250
"SF","Marvin Williams",4000,"Cha@LAL 09:30PM ET",16.417
"SF","Shawne Williams",4000,"Mia@Dal 07:30PM ET",23.833
"C","JaVale McGee",4000,"Den@Por 09:00PM ET",14.950
"SF","Perry Jones",4000,"Sac@OKC 07:00PM ET",22.350
"PG","Alexey Shved",4000,"Phi@Tor 07:00PM ET",16.125
"PF","Jakarr Sampson",4000,"Phi@Tor 07:00PM ET",5.500
"PG","Jameer Nelson",3900,"Mia@Dal 07:30PM ET",16.750
"SF","Caron Butler",3900,"Uta@Det 06:00PM ET",18.000
"PF","Brandan Wright",3900,"Mia@Dal 07:30PM ET",19.375
"PF","Trevor Booker",3900,"Uta@Det 06:00PM ET",19.208
"PF","Carl Landry",3800,"Sac@OKC 07:00PM ET",16.792
"PF","Lance Thomas",3800,"Sac@OKC 07:00PM ET",15.500
"SF","James Johnson",3800,"Phi@Tor 07:00PM ET",16.125
"SG","Jodie Meeks",3700,"Uta@Det 06:00PM ET",0
"PF","Brandon Davies",3700,"Phi@Tor 07:00PM ET",19.708
"SG","Andre Roberson",3700,"Sac@OKC 07:00PM ET",19.500
"SG","Bojan Bogdanovic",3700,"Orl@Bkn 03:30PM ET",13.700
"PG","Dante Exum",3700,"Uta@Det 06:00PM ET",13.458
"SF","Wesley Johnson",3600,"Cha@LAL 09:30PM ET",15.300
"PG","Greivis Vasquez",3600,"Phi@Tor 07:00PM ET",15.875
"SF","Danilo Gallinari",3600,"Den@Por 09:00PM ET",12.950
"SG","Ben McLemore",3600,"Sac@OKC 07:00PM ET",14.000
"PF","Aaron Gordon",3600,"Orl@Bkn 03:30PM ET",13.125
"C","Chris Kaman",3500,"Den@Por 09:00PM ET",17.917
"C","J.J. Hickson",3500,"Den@Por 09:00PM ET",0
"PG","Norris Cole",3500,"Mia@Dal 07:30PM ET",17.375
"SG","Jeremy Lamb",3500,"Sac@OKC 07:00PM ET",22.750
"SG","Alan Anderson",3400,"Orl@Bkn 03:30PM ET",13.450
"SG","Gerald Henderson",3400,"Cha@LAL 09:30PM ET",10.450
"SG","Nick Young",3300,"Cha@LAL 09:30PM ET",0
"PF","Jason Thompson",3300,"Sac@OKC 07:00PM ET",13.083
"PG","Raymond Felton",3200,"Mia@Dal 07:30PM ET",0
"PF","Tyler Hansbrough",3200,"Phi@Tor 07:00PM ET",12.625
"C","Rudy Gobert",3200,"Uta@Det 06:00PM ET",16.167
"PG","J.J. Barea",3100,"Mia@Dal 07:30PM ET",15.200
"PG","Shabazz Napier",3100,"Mia@Dal 07:30PM ET",14.208
"SF","Andrei Kirilenko",3000,"Orl@Bkn 03:30PM ET",3.200
"SG","Jason Richardson",3000,"Phi@Tor 07:00PM ET",0
"SF","Richard Jefferson",3000,"Mia@Dal 07:30PM ET",6.583
"C","Nick Collison",3000,"Sac@OKC 07:00PM ET",15.042
"PG","Steve Blake",3000,"Den@Por 09:00PM ET",12.042
"SG","Willie Green",3000,"Orl@Bkn 03:30PM ET",2.833
"PG","Luke Ridnour",3000,"Orl@Bkn 03:30PM ET",9.750
"PF","Chuck Hayes",3000,"Phi@Tor 07:00PM ET",3.833
"SG","Ben Gordon",3000,"Orl@Bkn 03:30PM ET",13.750
"PF","Jason Maxiell",3000,"Cha@LAL 09:30PM ET",5.625
"SF","Danny Granger",3000,"Mia@Dal 07:30PM ET",0
"C","Chris Andersen",3000,"Mia@Dal 07:30PM ET",12.875
"PG","Ronnie Price",3000,"Cha@LAL 09:30PM ET",16.350
"PG","Jannero Pargo",3000,"Cha@LAL 09:30PM ET",0
"SF","Steve Novak",3000,"Uta@Det 06:00PM ET",3.125
"PF","Shavlik Randolph",3000,"GS@Pho 08:00PM ET",2.500
"PF","Reggie Evans",3000,"Sac@OKC 07:00PM ET",12.875
"C","Ryan Hollins",3000,"Sac@OKC 07:00PM ET",2.667
"C","Kendrick Perkins",3000,"Sac@OKC 07:00PM ET",11.583
"PG","Leandro Barbosa",3000,"GS@Pho 08:00PM ET",14.300
"PF","Udonis Haslem",3000,"Mia@Dal 07:30PM ET",15.500
"SF","Cartier Martin",3000,"Uta@Det 06:00PM ET",0
"PF","Charlie Villanueva",3000,"Mia@Dal 07:30PM ET",2.917
"PF","Anthony Tolliver",3000,"GS@Pho 08:00PM ET",7.900
"SG","Shannon Brown",3000,"Mia@Dal 07:30PM ET",1.000
"PG","Shaun Livingston",3000,"GS@Pho 08:00PM ET",7.800
"PG","Sebastian Telfair",3000,"Sac@OKC 07:00PM ET",22.875
"SF","Dorell Wright",3000,"Den@Por 09:00PM ET",6.583
"C","Greg Stiemsma",3000,"Phi@Tor 07:00PM ET",8.750
"PG","Brian Roberts",3000,"Cha@LAL 09:30PM ET",10.750
"SG","Anthony Morrow",3000,"Sac@OKC 07:00PM ET",0
"PF","Joel Anthony",3000,"Uta@Det 06:00PM ET",5.875
"PG","Ramon Sessions",3000,"Sac@OKC 07:00PM ET",8.625
"PG","Lou Williams",3000,"Phi@Tor 07:00PM ET",13.667
"PF","Josh McRoberts",3000,"Mia@Dal 07:30PM ET",4.800
"SF","Alonzo Gee",3000,"Den@Por 09:00PM ET",9.900
"SG","Brandon Rush",3000,"GS@Pho 08:00PM ET",0.000
"C","Joel Freeland",3000,"Den@Por 09:00PM ET",2.833
"C","Jerome Jordan",3000,"Orl@Bkn 03:30PM ET",5.100
"SG","Wayne Ellington",3000,"Cha@LAL 09:30PM ET",14.000
"PG","Ish Smith",3000,"Sac@OKC 07:00PM ET",1.500
"SG","Landry Fields",3000,"Phi@Tor 07:00PM ET",0.000
"PF","Darrell Arthur",3000,"Den@Por 09:00PM ET",12.050
"PF","Marreese Speights",3000,"GS@Pho 08:00PM ET",10.875
"SF","Jeremy Evans",3000,"Uta@Det 06:00PM ET",0.000
"SF","Justin Holiday",3000,"GS@Pho 08:00PM ET",1.750
"SF","Kyle Singler",3000,"Uta@Det 06:00PM ET",7.650
"C","Robert Sacre",3000,"Cha@LAL 09:30PM ET",6.375
"SF","Malcolm Thomas",3000,"Phi@Tor 07:00PM ET",11.750
"C","Festus Ezeli",3000,"GS@Pho 08:00PM ET",8.200
"PG","Jorge Gutierrez",3000,"Orl@Bkn 03:30PM ET",4.000
"SF","Al-Farouq Aminu",3000,"Mia@Dal 07:30PM ET",13.083
"C","Justin Hamilton",3000,"Mia@Dal 07:30PM ET",11.750
"SF","Chris Johnson",3000,"Phi@Tor 07:00PM ET",12.250
"PF","Andrew Nicholson",3000,"Orl@Bkn 03:30PM ET",1.375
"SF","Jeffery Taylor",3000,"Cha@LAL 09:30PM ET",0
"SG","Toure' Murry",3000,"Uta@Det 06:00PM ET",0
"SG","Luigi Datome",3000,"Uta@Det 06:00PM ET",0
"C","Kyle O'Quinn",3000,"Orl@Bkn 03:30PM ET",21.500
"SG","Victor Claver",3000,"Den@Por 09:00PM ET",0
"SF","Omri Casspi",3000,"Sac@OKC 07:00PM ET",15.208
"PF","Jonas Jerebko",3000,"Uta@Det 06:00PM ET",10.063
"SG","Ian Clark",3000,"Uta@Det 06:00PM ET",3.667
"SF","Derrick Williams",3000,"Sac@OKC 07:00PM ET",4.600
"PF","Ryan Kelly",3000,"Cha@LAL 09:30PM ET",2.000
"PG","Erick Green",3000,"Den@Por 09:00PM ET",8.750
"PF","Cory Jefferson",3000,"Orl@Bkn 03:30PM ET",10.500
"PF","Thomas Robinson",3000,"Den@Por 09:00PM ET",8.150
"SG","Xavier Henry",3000,"Cha@LAL 09:30PM ET",2.750
"C","Greg Smith",3000,"Mia@Dal 07:30PM ET",1.438
"PG","C.J. McCollum",3000,"Den@Por 09:00PM ET",6.333
"SG","Allen Crabbe",3000,"Den@Por 09:00PM ET",3.375
"C","Meyers Leonard",3000,"Den@Por 09:00PM ET",3.625
"SG","Will Barton",3000,"Den@Por 09:00PM ET",4.900
"PG","Jordan Clarkson",3000,"Cha@LAL 09:30PM ET",7.850
"PF","Jae Crowder",3000,"Mia@Dal 07:30PM ET",2.550
"SG","Victor Oladipo",3000,"Orl@Bkn 03:30PM ET",0
"SG","Markel Brown",3000,"Orl@Bkn 03:30PM ET",0
"SF","Joe Ingles",3000,"Uta@Det 06:00PM ET",4.083
"PF","Eric Moreland",3000,"Sac@OKC 07:00PM ET",0
"SG","Roy Devyn Marble",3000,"Orl@Bkn 03:30PM ET",1.313
"SG","Zoran Dragic",3000,"GS@Pho 08:00PM ET",0
"PG","Ray McCallum",3000,"Sac@OKC 07:00PM ET",4.000
"C","Bismack Biyombo",3000,"Cha@LAL 09:30PM ET",0
"SG","James Ennis",3000,"Mia@Dal 07:30PM ET",6.708
"PG","Spencer Dinwiddie",3000,"Uta@Det 06:00PM ET",1.500
"SF","Rodney Hood",3000,"Uta@Det 06:00PM ET",11.583
"SF","Tony Mitchell",3000,"Uta@Det 06:00PM ET",0
"C","Dewayne Dedmon",3000,"Orl@Bkn 03:30PM ET",9.450
"SG","P.J. Hairston",3000,"Cha@LAL 09:30PM ET",11.500
"PG","Michael Carter-Williams",3000,"Phi@Tor 07:00PM ET",0
"SF","Maurice Harkless",3000,"Orl@Bkn 03:30PM ET",17.917
"C","Alex Len",3000,"GS@Pho 08:00PM ET",14.917
"C","Lucas Nogueira",3000,"Phi@Tor 07:00PM ET",0
"C","Ognjen Kuzmic",3000,"GS@Pho 08:00PM ET",3.250
"SF","T.J. Warren",3000,"GS@Pho 08:00PM ET",0
"SG","Sergey Karasev",3000,"Orl@Bkn 03:30PM ET",2.375
"PF","Grant Jerrett",3000,"Sac@OKC 07:00PM ET",0
"PF","Mitch McGary",3000,"Sac@OKC 07:00PM ET",0
"SG","Nik Stauskas",3000,"Sac@OKC 07:00PM ET",8.208
"SF","Jerami Grant",3000,"Phi@Tor 07:00PM ET",0
"SG","Archie Goodwin",3000,"GS@Pho 08:00PM ET",3.583
"SG","Gary Harris",3000,"Den@Por 09:00PM ET",0
"SG","Ricky Ledo",3000,"Mia@Dal 07:30PM ET",0
"PG","Nemanja Nedovic",3000,"GS@Pho 08:00PM ET",0
"PG","Tyler Ennis",3000,"GS@Pho 08:00PM ET",3.875
"PF","Noah Vonleh",3000,"Cha@LAL 09:30PM ET",0
"C","Joel Embiid",3000,"Phi@Tor 07:00PM ET",0
"C","Jusuf Nurkic",3000,"Den@Por 09:00PM ET",12.950
"SF","Bruno Caboclo",3000,"Phi@Tor 07:00PM ET",0
