34781,2, PF, 3800, 20.038
34723,2, SF, 4500, 17.963
34709,2, PF, 4800, 1.5
34693,2, SG, 4900, 21.45
34674,5, C, 5200, 25.115
34654,2, PG, 5500, 24.763
34637,2, PF, 5700, 23.658
34634,5, PF, 5900, 25.794
34620,2, C, 6200, 30.238
34578,5, SG, 7500, 34.132
34566,5, PG, 7800, 32.779
34539,2, SG, 9400, 42.05
34521,5, PF, 11700, 53.426
